country,pop,date,days,cases,cum_cases,case_rate,deaths,cum_deaths,death_rate
Albanía,2879642,2020-03-09,0,2,2,6.945307784787137e-4,0,0,0
Albanía,2879642,2020-03-10,1,4,6,0.002083592335436141,0,0,0
Albanía,2879642,2020-03-11,2,4,10,0.0034726538923935684,0,0,0
Albanía,2879642,2020-03-12,3,1,11,0.0038199192816329255,1,1,3.4726538923935687e-4
Albanía,2879642,2020-03-13,4,12,23,0.007987103952505207,0,1,3.4726538923935687e-4
Albanía,2879642,2020-03-14,5,10,33,0.011459757844898775,0,1,3.4726538923935687e-4
Armenía,2961928,2020-03-12,0,3,4,0.0013504717197717162,0,0,0
Armenía,2961928,2020-03-13,1,2,6,0.0020257075796575744,0,0,0
Armenía,2961928,2020-03-14,2,7,13,0.004389033089258078,0,0,0
Aserbaídsjan,10117021,2020-03-02,0,2,3,2.965299765612822e-4,0,0,0
Aserbaídsjan,10117021,2020-03-06,4,3,6,5.930599531225644e-4,0,0,0
Aserbaídsjan,10117021,2020-03-07,5,3,9,8.895899296838467e-4,0,0,0
Aserbaídsjan,10117021,2020-03-11,9,2,11,0.0010872765807247015,0,0,0
Aserbaídsjan,10117021,2020-03-12,10,2,13,0.0012849632317655563,0,0,0
Aserbaídsjan,10117021,2020-03-13,11,0,13,0.0012849632317655563,0,0,0
Austurríki,8999973,2020-02-26,0,2,2,2.222228888908889e-4,0,0,0
Austurríki,8999973,2020-02-27,1,0,2,2.222228888908889e-4,0,0,0
Austurríki,8999973,2020-02-28,2,3,5,5.555572222272222e-4,0,0,0
Austurríki,8999973,2020-02-29,3,2,7,7.777801111181112e-4,0,0,0
Austurríki,8999973,2020-03-01,4,3,10,0.0011111144444544445,0,0,0
Austurríki,8999973,2020-03-02,5,4,14,0.0015555602222362224,0,0,0
Austurríki,8999973,2020-03-03,6,4,18,0.002000006000018,0,0,0
Austurríki,8999973,2020-03-04,7,6,24,0.002666674666690667,0,0,0
Austurríki,8999973,2020-03-05,8,5,29,0.003222231888917889,0,0,0
Austurríki,8999973,2020-03-06,9,12,41,0.004555569222263222,0,0,0
Austurríki,8999973,2020-03-07,10,33,74,0.008222246888962888,0,0,0
Austurríki,8999973,2020-03-08,11,25,99,0.011000033000099,0,0,0
Austurríki,8999973,2020-03-09,12,3,102,0.011333367333435334,0,0,0
Austurríki,8999973,2020-03-10,13,29,131,0.014555599222353222,0,0,0
Austurríki,8999973,2020-03-11,14,51,182,0.02022228288907089,0,0,0
Austurríki,8999973,2020-03-12,15,64,246,0.027333415333579334,0,0,0
Austurríki,8999973,2020-03-13,16,115,361,0.04011123144480545,1,1,1.1111144444544445e-4
Austurríki,8999973,2020-03-14,17,143,504,0.056000168000504,0,1,1.1111144444544445e-4
Belgía,11579502,2020-03-02,0,1,2,1.7271899948719728e-4,0,0,0
Belgía,11579502,2020-03-03,1,6,8,6.908759979487891e-4,0,0,0
Belgía,11579502,2020-03-04,2,5,13,0.0011226734966667826,0,0,0
Belgía,11579502,2020-03-05,3,10,23,0.001986268494102769,0,0,0
Belgía,11579502,2020-03-06,4,27,50,0.004317974987179933,0,0,0
Belgía,11579502,2020-03-07,5,59,109,0.00941318547205225,0,0,0
Belgía,11579502,2020-03-08,6,60,169,0.014594755456668171,0,0,0
Belgía,11579502,2020-03-09,7,31,200,0.01727189994871973,0,0,0
Belgía,11579502,2020-03-10,8,39,239,0.020639920438720073,0,0,0
Belgía,11579502,2020-03-11,9,28,267,0.023057986431540837,0,0,0
Belgía,11579502,2020-03-12,10,47,314,0.027116882919489972,3,3,2.5907849923079596e-4
Belgía,11579502,2020-03-13,11,85,399,0.03445744039769586,0,3,2.5907849923079596e-4
Belgía,11579502,2020-03-14,12,160,559,0.04827496035667164,0,3,2.5907849923079596e-4
Bosnía og Hersegóvína,3285047,2020-03-06,0,2,2,6.088192954316939e-4,0,0,0
Bosnía og Hersegóvína,3285047,2020-03-12,6,1,3,9.13228943147541e-4,0,0,0
Bosnía og Hersegóvína,3285047,2020-03-13,7,0,3,9.13228943147541e-4,0,0,0
