country,date,cum_cases,pop,case_rate,days
Albanía,2020-03-09,2,2879642,6.945307784787137e-7,0
Albanía,2020-03-10,10,2879642,3.472653892393568e-6,1
Albanía,2020-03-11,12,2879642,4.167184670872282e-6,2
Albanía,2020-03-12,23,2879642,7.987103952505207e-6,3
Albanía,2020-03-13,33,2879642,1.1459757844898776e-5,4
Armenía,2020-03-12,4,2961928,1.3504717197717163e-6,0
Armenía,2020-03-13,8,2961928,2.7009434395434326e-6,1
Austurríki,2020-02-25,2,8999973,2.222228888908889e-7,0
Austurríki,2020-02-26,2,8999973,2.222228888908889e-7,1
Austurríki,2020-02-27,3,8999973,3.3333433333633336e-7,2
Austurríki,2020-02-28,3,8999973,3.3333433333633336e-7,3
Austurríki,2020-02-29,9,8999973,1.000003000009e-6,4
Austurríki,2020-03-01,14,8999973,1.5555602222362223e-6,5
Austurríki,2020-03-02,18,8999973,2.000006000018e-6,6
Austurríki,2020-03-03,21,8999973,2.333340333354333e-6,7
Austurríki,2020-03-04,29,8999973,3.222231888917889e-6,8
Austurríki,2020-03-05,41,8999973,4.555569222263223e-6,9
Austurríki,2020-03-06,55,8999973,6.111129444499445e-6,10
Austurríki,2020-03-07,79,8999973,8.777804111190112e-6,11
Austurríki,2020-03-08,104,8999973,1.1555590222326222e-5,12
Austurríki,2020-03-09,131,8999973,1.4555599222353222e-5,13
Austurríki,2020-03-10,182,8999973,2.022228288907089e-5,14
Austurríki,2020-03-11,246,8999973,2.7333415333579334e-5,15
Austurríki,2020-03-12,302,8999973,3.355565622252422e-5,16
Austurríki,2020-03-13,504,8999973,5.6000168000504004e-5,17
Aserbaídsjan,2020-03-01,3,10117021,2.9652997656128224e-7,0
Aserbaídsjan,2020-03-02,3,10117021,2.9652997656128224e-7,1
Aserbaídsjan,2020-03-03,3,10117021,2.9652997656128224e-7,2
Aserbaídsjan,2020-03-04,3,10117021,2.9652997656128224e-7,3
Aserbaídsjan,2020-03-05,6,10117021,5.930599531225645e-7,4
Aserbaídsjan,2020-03-06,6,10117021,5.930599531225645e-7,5
Aserbaídsjan,2020-03-07,9,10117021,8.895899296838467e-7,6
Aserbaídsjan,2020-03-08,9,10117021,8.895899296838467e-7,7
Aserbaídsjan,2020-03-09,9,10117021,8.895899296838467e-7,8
Aserbaídsjan,2020-03-10,11,10117021,1.0872765807247014e-6,9
Aserbaídsjan,2020-03-11,11,10117021,1.0872765807247014e-6,10
Aserbaídsjan,2020-03-12,11,10117021,1.0872765807247014e-6,11
Aserbaídsjan,2020-03-13,15,10117021,1.482649882806411e-6,12
Hvíta-Rússland,2020-03-04,6,9452267,6.34768357686045e-7,0
Hvíta-Rússland,2020-03-05,6,9452267,6.34768357686045e-7,1
Hvíta-Rússland,2020-03-06,6,9452267,6.34768357686045e-7,2
Hvíta-Rússland,2020-03-07,6,9452267,6.34768357686045e-7,3
Hvíta-Rússland,2020-03-08,6,9452267,6.34768357686045e-7,4
Hvíta-Rússland,2020-03-09,6,9452267,6.34768357686045e-7,5
Hvíta-Rússland,2020-03-10,9,9452267,9.521525365290675e-7,6
Hvíta-Rússland,2020-03-11,9,9452267,9.521525365290675e-7,7
Hvíta-Rússland,2020-03-12,12,9452267,1.26953671537209e-6,8
Hvíta-Rússland,2020-03-13,27,9452267,2.8564576095872026e-6,9
Belgía,2020-03-01,2,11579502,1.7271899948719728e-7,0
Belgía,2020-03-02,8,11579502,6.908759979487891e-7,1
Belgía,2020-03-03,13,11579502,1.1226734966667825e-6,2
Belgía,2020-03-04,23,11579502,1.986268494102769e-6,3
Belgía,2020-03-05,50,11579502,4.317974987179933e-6,4
Belgía,2020-03-06,109,11579502,9.413185472052252e-6,5
Belgía,2020-03-07,169,11579502,1.459475545666817e-5,6
Belgía,2020-03-08,200,11579502,1.727189994871973e-5,7
Belgía,2020-03-09,239,11579502,2.0639920438720075e-5,8
Belgía,2020-03-10,267,11579502,2.3057986431540837e-5,9
Belgía,2020-03-11,314,11579502,2.7116882919489974e-5,10
Belgía,2020-03-12,314,11579502,2.7116882919489974e-5,11
Belgía,2020-03-13,559,11579502,4.827496035667164e-5,12
Bosnía og Hersegóvína,2020-03-05,2,3285047,6.088192954316939e-7,0
Bosnía og Hersegóvína,2020-03-06,2,3285047,6.088192954316939e-7,1
Bosnía og Hersegóvína,2020-03-07,3,3285047,9.132289431475409e-7,2
Bosnía og Hersegóvína,2020-03-08,3,3285047,9.132289431475409e-7,3
Bosnía og Hersegóvína,2020-03-09,3,3285047,9.132289431475409e-7,4
Bosnía og Hersegóvína,2020-03-10,5,3285047,1.5220482385792349e-6,5
Bosnía og Hersegóvína,2020-03-11,7,3285047,2.130867534010929e-6,6
Bosnía og Hersegóvína,2020-03-12,11,3285047,3.3485061248743167e-6,7
Bosnía og Hersegóvína,2020-03-13,13,3285047,3.957325420306011e-6,8
Búlgaría,2020-03-08,4,6964301,5.743577137174283e-7,0
Búlgaría,2020-03-09,4,6964301,5.743577137174283e-7,1
Búlgaría,2020-03-10,4,6964301,5.743577137174283e-7,2
Búlgaría,2020-03-11,7,6964301,1.0051259990054997e-6,3
Búlgaría,2020-03-12,7,6964301,1.0051259990054997e-6,4
Búlgaría,2020-03-13,23,6964301,3.302556853875213e-6,5
Króatía,2020-02-26,3,4112131,7.295487424889918e-7,0
Króatía,2020-02-27,3,4112131,7.295487424889918e-7,1
Króatía,2020-02-28,5,4112131,1.2159145708149863e-6,2
Króatía,2020-02-29,6,4112131,1.4590974849779835e-6,3
Króatía,2020-03-01,7,4112131,1.7022803991409807e-6,4
Króatía,2020-03-02,7,4112131,1.7022803991409807e-6,5
Króatía,2020-03-03,9,4112131,2.188646227466975e-6,6
Króatía,2020-03-04,10,4112131,2.4318291416299726e-6,7
Króatía,2020-03-05,10,4112131,2.4318291416299726e-6,8
Króatía,2020-03-06,11,4112131,2.67501205579297e-6,9
Króatía,2020-03-07,12,4112131,2.918194969955967e-6,10
Króatía,2020-03-08,12,4112131,2.918194969955967e-6,11
Króatía,2020-03-09,12,4112131,2.918194969955967e-6,12
Króatía,2020-03-10,14,4112131,3.4045607982819615e-6,13
Króatía,2020-03-11,19,4112131,4.620475369096947e-6,14
Króatía,2020-03-12,19,4112131,4.620475369096947e-6,15
Króatía,2020-03-13,32,4112131,7.781853253215911e-6,16
Kýpur,2020-03-09,2,1186194,1.6860648426817198e-6,0
Kýpur,2020-03-10,3,1186194,2.5290972640225797e-6,1
Kýpur,2020-03-11,6,1186194,5.058194528045159e-6,2
Kýpur,2020-03-12,6,1186194,5.058194528045159e-6,3
Kýpur,2020-03-13,14,1186194,1.180245389877204e-5,4
Danmörk,2020-02-29,3,5785741,5.185161243823393e-7,0
Danmörk,2020-03-01,4,5785741,6.913548325097857e-7,1
Danmörk,2020-03-02,4,5785741,6.913548325097857e-7,2
Danmörk,2020-03-03,6,5785741,1.0370322487646785e-6,3
Danmörk,2020-03-04,10,5785741,1.7283870812744642e-6,4
Danmörk,2020-03-05,10,5785741,1.7283870812744642e-6,5
Danmörk,2020-03-06,23,5785741,3.975290286931267e-6,6
Danmörk,2020-03-07,23,5785741,3.975290286931267e-6,7
Danmörk,2020-03-08,35,5785741,6.0493547844606245e-6,8
Danmörk,2020-03-09,90,5785741,1.555548373147018e-5,9
Danmörk,2020-03-10,262,5785741,4.5283741529390964e-5,10
Danmörk,2020-03-11,442,5785741,7.639470899233132e-5,11
Danmörk,2020-03-12,615,5785741,1.0629580549837956e-4,12
Danmörk,2020-03-13,801,5785741,1.384438052100846e-4,13
Eistland,2020-03-03,2,1327561,1.5065221108483904e-6,0
Eistland,2020-03-04,2,1327561,1.5065221108483904e-6,1
Eistland,2020-03-05,3,1327561,2.2597831662725854e-6,2
Eistland,2020-03-06,10,1327561,7.532610554241952e-6,3
Eistland,2020-03-07,10,1327561,7.532610554241952e-6,4
Eistland,2020-03-08,10,1327561,7.532610554241952e-6,5
Eistland,2020-03-09,10,1327561,7.532610554241952e-6,6
Eistland,2020-03-10,12,1327561,9.039132665090342e-6,7
Eistland,2020-03-11,16,1327561,1.2052176886787123e-5,8
Eistland,2020-03-12,16,1327561,1.2052176886787123e-5,9
Eistland,2020-03-13,79,1327561,5.950762337851142e-5,10
Finnland,2020-02-26,2,5538872,3.610843507486723e-7,0
Finnland,2020-02-27,2,5538872,3.610843507486723e-7,1
Finnland,2020-02-28,2,5538872,3.610843507486723e-7,2
Finnland,2020-02-29,3,5538872,5.416265261230085e-7,3
Finnland,2020-03-01,6,5538872,1.083253052246017e-6,4
Finnland,2020-03-02,6,5538872,1.083253052246017e-6,5
Finnland,2020-03-03,6,5538872,1.083253052246017e-6,6
Finnland,2020-03-04,6,5538872,1.083253052246017e-6,7
Finnland,2020-03-05,12,5538872,2.166506104492034e-6,8
Finnland,2020-03-06,15,5538872,2.708132630615042e-6,9
Finnland,2020-03-07,15,5538872,2.708132630615042e-6,10
Finnland,2020-03-08,23,5538872,4.152470033609731e-6,11
Finnland,2020-03-09,30,5538872,5.416265261230084e-6,12
Finnland,2020-03-10,40,5538872,7.221687014973446e-6,13
Finnland,2020-03-11,59,5538872,1.0651988347085832e-5,14
Finnland,2020-03-12,59,5538872,1.0651988347085832e-5,15
Finnland,2020-03-13,155,5538872,2.79840371830221e-5,16
Frakkland,2020-01-24,2,65227357,3.066198129107086e-8,0
Frakkland,2020-01-25,3,65227357,4.599297193660629e-8,1
Frakkland,2020-01-26,3,65227357,4.599297193660629e-8,2
Frakkland,2020-01-27,3,65227357,4.599297193660629e-8,3
Frakkland,2020-01-28,4,65227357,6.132396258214172e-8,4
Frakkland,2020-01-29,5,65227357,7.665495322767716e-8,5
Frakkland,2020-01-30,5,65227357,7.665495322767716e-8,6
Frakkland,2020-01-31,5,65227357,7.665495322767716e-8,7
Frakkland,2020-02-01,6,65227357,9.198594387321258e-8,8
Frakkland,2020-02-02,6,65227357,9.198594387321258e-8,9
Frakkland,2020-02-03,6,65227357,9.198594387321258e-8,10
Frakkland,2020-02-04,6,65227357,9.198594387321258e-8,11
