dags,tegund,fjoldi,dagar
2020-02-28,Annad,0,0
2020-02-29,Annad,0,1
2020-03-01,Annad,0,2
2020-03-02,Annad,0,3
2020-03-04,Annad,0,5
2020-03-05,Annad,0,6
2020-03-06,Annad,0,7
2020-03-07,Annad,0,8
2020-03-08,Annad,0,9
2020-03-09,Annad,0,10
2020-03-10,Annad,0,11
2020-03-11,Annad,0,12
2020-03-12,Annad,0,13
2020-03-13,Annad,0,14
2020-03-14,Annad,0,15
2020-02-28,Erlendis,1,0
2020-02-29,Erlendis,3,1
2020-03-01,Erlendis,6,2
2020-03-02,Erlendis,11,3
2020-03-04,Erlendis,26,5
2020-03-05,Erlendis,34,6
2020-03-06,Erlendis,40,7
2020-03-07,Erlendis,43,8
2020-03-08,Erlendis,45,9
2020-03-09,Erlendis,50,10
2020-03-10,Erlendis,54,11
2020-03-11,Erlendis,65,12
2020-03-12,Erlendis,87,13
2020-03-13,Erlendis,98,14
2020-03-14,Erlendis,112,15
2020-02-28,Innanlands,0,0
2020-02-29,Innanlands,0,1
2020-03-01,Innanlands,0,2
2020-03-02,Innanlands,0,3
2020-03-04,Innanlands,0,5
2020-03-05,Innanlands,0,6
2020-03-06,Innanlands,3,7
2020-03-07,Innanlands,7,8
2020-03-08,Innanlands,10,9
2020-03-09,Innanlands,10,10
2020-03-10,Innanlands,16,11
2020-03-11,Innanlands,20,12
2020-03-12,Innanlands,22,13
2020-03-13,Innanlands,30,14
2020-03-14,Innanlands,49,15
2020-02-28,Samtals,1,0
2020-02-29,Samtals,3,1
2020-03-01,Samtals,6,2
2020-03-02,Samtals,11,3
2020-03-04,Samtals,26,5
2020-03-05,Samtals,34,6
2020-03-06,Samtals,43,7
2020-03-07,Samtals,50,8
2020-03-08,Samtals,55,9
2020-03-09,Samtals,60,10
2020-03-10,Samtals,70,11
2020-03-11,Samtals,85,12
2020-03-12,Samtals,109,13
2020-03-13,Samtals,128,14
2020-03-14,Samtals,161,15
