"","country","pop"
"1","Russia",145969087
"2","Germany",83792987
"3","Turkey",84200851
"4","France",65227357
"5","United Kingdom",67803450
"6","Italy",60496082
"7","Spain",46767543
"8","Poland",37864109
"9","Ukraine",43817733
"10","Romania",19266079
"11","Kazakhstan",18715436
"12","Netherlands",17123478
"13","Belgium",11579502
"14","Greece",10439436
"15","Czech Republic",10705712
"16","Sweden",10081948
"17","Portugal",10205235
"18","Azerbaijan",10117021
"19","Hungary",9668737
"20","Belarus",9452267
"21","Austria",8999973
"22","Switzerland",8637694
"23","Bulgaria",6964301
"24","Serbia",8750935
"25","Denmark",5785741
"26","Finland",5538872
"27","Slovakia",5459814
"28","Norway",5407670
"29","Ireland",4927661
"30","Croatia",4112131
"31","Georgia",3992447
"32","Bosnia and Herzegovina",3285047
"33","Armenia",2961928
"34","Albania",2879642
"35","Lithuania",1954244
"36","Moldova",4037197
"37","North Macedonia",2083810
"38","Slovenia",2079226
"39","Latvia",1891687
"40","Kosovo",NA
"41","Estonia",1327561
"42","Cyprus",1186194
"43","Montenegro",628112
"44","Luxembourg",623897
"45","Malta",441161
"46","Iceland",340663
"47","Jersey (UK)",NA
"48","Isle of Man (UK)",84941
"49","Andorra",77237
"50","Guernsey (UK)",NA
"51","Faroe Islands (Denmark)",48805
"52","Monaco",39163
"53","Liechtenstein",38095
"54","Gibraltar (UK)",33689
"55","San Marino",33913
"56","Åland Islands (Finland)",NA
"57","Vatican City",798
