country,date,cum_cases,pop,rate,cases,days,island
Albania,2020-03-07,0,2879642,0,0,0,Annað
Albania,2020-03-08,2,2879642,6.945307784787137e-4,2,1,Annað
Albania,2020-03-09,10,2879642,0.0034726538923935684,8,2,Annað
Albania,2020-03-10,12,2879642,0.004167184670872282,2,3,Annað
Albania,2020-03-11,23,2879642,0.007987103952505207,11,4,Annað
Armenia,2020-03-10,1,2961928,3.3761792994292905e-4,0,0,Annað
Armenia,2020-03-11,4,2961928,0.0013504717197717162,3,1,Annað
Austria,2020-02-23,0,8999973,0,0,0,Annað
Austria,2020-02-24,2,8999973,2.222228888908889e-4,2,1,Annað
Austria,2020-02-25,2,8999973,2.222228888908889e-4,0,2,Annað
Austria,2020-02-26,3,8999973,3.333343333363334e-4,1,3,Annað
Austria,2020-02-27,3,8999973,3.333343333363334e-4,0,4,Annað
Austria,2020-02-28,9,8999973,0.001000003000009,6,5,Annað
Austria,2020-02-29,14,8999973,0.0015555602222362224,5,6,Annað
Austria,2020-03-01,18,8999973,0.002000006000018,4,7,Annað
Austria,2020-03-02,21,8999973,0.002333340333354333,3,8,Annað
Austria,2020-03-03,29,8999973,0.003222231888917889,8,9,Annað
Austria,2020-03-04,41,8999973,0.004555569222263222,12,10,Annað
Austria,2020-03-05,55,8999973,0.006111129444499445,14,11,Annað
Austria,2020-03-06,79,8999973,0.008777804111190111,24,12,Annað
Austria,2020-03-07,104,8999973,0.011555590222326223,25,13,Annað
Austria,2020-03-08,131,8999973,0.014555599222353222,27,14,Annað
Austria,2020-03-09,182,8999973,0.02022228288907089,51,15,Annað
Austria,2020-03-10,246,8999973,0.027333415333579334,64,16,Annað
Austria,2020-03-11,302,8999973,0.033555656222524224,56,17,Annað
Azerbaijan,2020-02-28,0,10117021,0,0,0,Annað
Azerbaijan,2020-02-29,3,10117021,2.965299765612822e-4,3,1,Annað
Azerbaijan,2020-03-01,3,10117021,2.965299765612822e-4,0,2,Annað
Azerbaijan,2020-03-02,3,10117021,2.965299765612822e-4,0,3,Annað
Azerbaijan,2020-03-03,3,10117021,2.965299765612822e-4,0,4,Annað
Azerbaijan,2020-03-04,6,10117021,5.930599531225644e-4,3,5,Annað
Azerbaijan,2020-03-05,6,10117021,5.930599531225644e-4,0,6,Annað
Azerbaijan,2020-03-06,9,10117021,8.895899296838467e-4,3,7,Annað
Azerbaijan,2020-03-07,9,10117021,8.895899296838467e-4,0,8,Annað
Azerbaijan,2020-03-08,9,10117021,8.895899296838467e-4,0,9,Annað
Azerbaijan,2020-03-09,11,10117021,0.0010872765807247015,2,10,Annað
Azerbaijan,2020-03-10,11,10117021,0.0010872765807247015,0,11,Annað
Azerbaijan,2020-03-11,11,10117021,0.0010872765807247015,0,12,Annað
Belarus,2020-03-02,1,9452267,1.0579472628100751e-4,0,0,Annað
Belarus,2020-03-03,6,9452267,6.34768357686045e-4,5,1,Annað
Belarus,2020-03-04,6,9452267,6.34768357686045e-4,0,2,Annað
Belarus,2020-03-05,6,9452267,6.34768357686045e-4,0,3,Annað
Belarus,2020-03-06,6,9452267,6.34768357686045e-4,0,4,Annað
Belarus,2020-03-07,6,9452267,6.34768357686045e-4,0,5,Annað
Belarus,2020-03-08,6,9452267,6.34768357686045e-4,0,6,Annað
Belarus,2020-03-09,9,9452267,9.521525365290675e-4,3,7,Annað
Belarus,2020-03-10,9,9452267,9.521525365290675e-4,0,8,Annað
Belarus,2020-03-11,12,9452267,0.00126953671537209,3,9,Annað
Belgium,2020-02-28,1,11579502,8.635949974359864e-5,0,0,Annað
Belgium,2020-02-29,2,11579502,1.7271899948719728e-4,1,1,Annað
Belgium,2020-03-01,8,11579502,6.908759979487891e-4,6,2,Annað
Belgium,2020-03-02,13,11579502,0.0011226734966667826,5,3,Annað
Belgium,2020-03-03,23,11579502,0.001986268494102769,10,4,Annað
Belgium,2020-03-04,50,11579502,0.004317974987179933,27,5,Annað
Belgium,2020-03-05,109,11579502,0.00941318547205225,59,6,Annað
Belgium,2020-03-06,169,11579502,0.014594755456668171,60,7,Annað
Belgium,2020-03-07,200,11579502,0.01727189994871973,31,8,Annað
Belgium,2020-03-08,239,11579502,0.020639920438720073,39,9,Annað
Belgium,2020-03-09,267,11579502,0.023057986431540837,28,10,Annað
Belgium,2020-03-10,314,11579502,0.027116882919489972,47,11,Annað
Belgium,2020-03-11,314,11579502,0.027116882919489972,0,12,Annað
Bosnia and Herzegovina,2020-03-03,0,3285047,0,0,0,Annað
Bosnia and Herzegovina,2020-03-04,2,3285047,6.088192954316939e-4,2,1,Annað
Bosnia and Herzegovina,2020-03-05,2,3285047,6.088192954316939e-4,0,2,Annað
Bosnia and Herzegovina,2020-03-06,3,3285047,9.13228943147541e-4,1,3,Annað
Bosnia and Herzegovina,2020-03-07,3,3285047,9.13228943147541e-4,0,4,Annað
Bosnia and Herzegovina,2020-03-08,3,3285047,9.13228943147541e-4,0,5,Annað
Bosnia and Herzegovina,2020-03-09,5,3285047,0.001522048238579235,2,6,Annað
Bosnia and Herzegovina,2020-03-10,7,3285047,0.0021308675340109286,2,7,Annað
Bosnia and Herzegovina,2020-03-11,11,3285047,0.003348506124874317,4,8,Annað
Bulgaria,2020-03-06,0,6964301,0,0,0,Annað
Bulgaria,2020-03-07,4,6964301,5.743577137174283e-4,4,1,Annað
Bulgaria,2020-03-08,4,6964301,5.743577137174283e-4,0,2,Annað
Bulgaria,2020-03-09,4,6964301,5.743577137174283e-4,0,3,Annað
Bulgaria,2020-03-10,7,6964301,0.0010051259990054996,3,4,Annað
Bulgaria,2020-03-11,7,6964301,0.0010051259990054996,0,5,Annað
Croatia,2020-02-24,1,4112131,2.4318291416299722e-4,1,0,Annað
Croatia,2020-02-25,3,4112131,7.295487424889917e-4,2,1,Annað
Croatia,2020-02-26,3,4112131,7.295487424889917e-4,0,2,Annað
Croatia,2020-02-27,5,4112131,0.0012159145708149862,2,3,Annað
Croatia,2020-02-28,6,4112131,0.0014590974849779835,1,4,Annað
Croatia,2020-02-29,7,4112131,0.0017022803991409807,1,5,Annað
Croatia,2020-03-01,7,4112131,0.0017022803991409807,0,6,Annað
Croatia,2020-03-02,9,4112131,0.0021886462274669748,2,7,Annað
Croatia,2020-03-03,10,4112131,0.0024318291416299724,1,8,Annað
Croatia,2020-03-04,10,4112131,0.0024318291416299724,0,9,Annað
Croatia,2020-03-05,11,4112131,0.0026750120557929697,1,10,Annað
Croatia,2020-03-06,12,4112131,0.002918194969955967,1,11,Annað
Croatia,2020-03-07,12,4112131,0.002918194969955967,0,12,Annað
Croatia,2020-03-08,12,4112131,0.002918194969955967,0,13,Annað
Croatia,2020-03-09,14,4112131,0.0034045607982819614,2,14,Annað
Croatia,2020-03-10,19,4112131,0.004620475369096947,5,15,Annað
Croatia,2020-03-11,19,4112131,0.004620475369096947,0,16,Annað
Cyprus,2020-03-07,0,1186194,0,0,0,Annað
Cyprus,2020-03-08,2,1186194,0.00168606484268172,2,1,Annað
Cyprus,2020-03-09,3,1186194,0.0025290972640225795,1,2,Annað
Cyprus,2020-03-10,6,1186194,0.005058194528045159,3,3,Annað
Cyprus,2020-03-11,6,1186194,0.005058194528045159,0,4,Annað
Denmark,2020-02-27,1,5785741,1.7283870812744644e-4,1,0,Annað
Denmark,2020-02-28,3,5785741,5.185161243823393e-4,3,1,Annað
Denmark,2020-02-29,4,5785741,6.913548325097858e-4,4,2,Annað
Denmark,2020-03-01,4,5785741,6.913548325097858e-4,4,3,Annað
Denmark,2020-03-02,6,5785741,0.0010370322487646786,6,4,Annað
Denmark,2020-03-03,10,5785741,0.0017283870812744642,10,5,Annað
Denmark,2020-03-04,10,5785741,0.0017283870812744642,9,6,Annað
Denmark,2020-03-05,23,5785741,0.003975290286931267,22,7,Annað
Denmark,2020-03-06,23,5785741,0.003975290286931267,22,8,Annað
Denmark,2020-03-07,35,5785741,0.006049354784460625,34,9,Annað
Denmark,2020-03-08,90,5785741,0.01555548373147018,88,10,Annað
Denmark,2020-03-09,262,5785741,0.045283741529390964,260,11,Annað
Denmark,2020-03-10,442,5785741,0.07639470899233132,440,12,Annað
Denmark,2020-03-11,615,5785741,0.10629580549837955,613,13,Annað
Estonia,2020-03-01,1,1327561,7.532610554241952e-4,0,0,Annað
Estonia,2020-03-02,2,1327561,0.0015065221108483903,1,1,Annað
Estonia,2020-03-03,2,1327561,0.0015065221108483903,0,2,Annað
Estonia,2020-03-04,3,1327561,0.0022597831662725856,1,3,Annað
Estonia,2020-03-05,10,1327561,0.007532610554241952,7,4,Annað
Estonia,2020-03-06,10,1327561,0.007532610554241952,0,5,Annað
Estonia,2020-03-07,10,1327561,0.007532610554241952,0,6,Annað
Estonia,2020-03-08,10,1327561,0.007532610554241952,0,7,Annað
Estonia,2020-03-09,12,1327561,0.009039132665090342,2,8,Annað
Estonia,2020-03-10,16,1327561,0.012052176886787122,4,9,Annað
Estonia,2020-03-11,16,1327561,0.012052176886787122,0,10,Annað
Finland,2020-02-24,1,5538872,1.8054217537433615e-4,0,0,Annað
