country,continent,region,pop
China,Asia,Eastern Asia,1433783686
India,Asia,Southern Asia,1366417754
United States,Americas,Northern America,329064917
Indonesia,Asia,South-eastern Asia,270625568
Pakistan,Asia,Southern Asia,216565318
Brazil,Americas,South America,211049527
Nigeria,Africa,Western Africa,200963599
Bangladesh,Asia,Southern Asia,163046161
Russia,Europe,Eastern Europe,145872256
Mexico,Americas,Central America,127575529
Japan,Asia,Eastern Asia,126860301
Ethiopia,Africa,Eastern Africa,112078730
Philippines,Asia,South-eastern Asia,108116615
Egypt,Africa,Northern Africa,100388073
Vietnam,Asia,South-eastern Asia,96462106
DR Congo,Africa,Middle Africa,86790567
Germany,Europe,Western Europe,83517045
Turkey,Asia,Western Asia,83429615
Iran,Asia,Southern Asia,82913906
Thailand,Asia,South-eastern Asia,69037513
United Kingdom,Europe,Northern Europe,67530172
France,Europe,Western Europe,65129728
Italy,Europe,Southern Europe,60550075
South Africa,Africa,Southern Africa,58558270
Tanzania,Africa,Eastern Africa,58005463
Myanmar,Asia,South-eastern Asia,54045420
Kenya,Africa,Eastern Africa,52573973
South Korea,Asia,Eastern Asia,51225308
Colombia,Americas,South America,50339443
Spain,Europe,Southern Europe,46736776
Argentina,Americas,South America,44780677
Uganda,Africa,Eastern Africa,44269594
Ukraine,Europe,Eastern Europe,43993638
Algeria,Africa,Northern Africa,43053054
Sudan,Africa,Northern Africa,42813238
Iraq,Asia,Western Asia,39309783
Afghanistan,Asia,Southern Asia,38041754
Poland,Europe,Eastern Europe,37887768
Canada,Americas,Northern America,37411047
Morocco,Africa,Northern Africa,36471769
Saudi Arabia,Asia,Western Asia,34268528
Uzbekistan,Asia,Central Asia,32981716
Peru,Americas,South America,32510453
Malaysia,Asia,South-eastern Asia,31949777
Angola,Africa,Middle Africa,31825295
Mozambique,Africa,Eastern Africa,30366036
Yemen,Asia,Western Asia,29161922
Ghana,Africa,Western Africa,28833629
Nepal,Asia,Southern Asia,28608710
Venezuela,Americas,South America,28515829
Madagascar,Africa,Eastern Africa,26969307
North Korea,Asia,Eastern Asia,25666161
Ivory Coast,Africa,Western Africa,25716544
Cameroon,Africa,Middle Africa,25876380
Australia,Oceania,Australia and New Zealand,25203198
Taiwan,Asia,Eastern Asia,23773876
Niger,Africa,Western Africa,23310715
Sri Lanka,Asia,Southern Asia,21323733
Burkina Faso,Africa,Western Africa,20321378
Mali,Africa,Western Africa,19658031
Romania,Europe,Eastern Europe,19364557
Malawi,Africa,Eastern Africa,18628747
Chile,Americas,South America,18952038
Kazakhstan,Asia,Central Asia,18551427
Zambia,Africa,Eastern Africa,17861030
Guatemala,Americas,Central America,17581472
Ecuador,Americas,South America,17373662
Netherlands,Europe,Western Europe,17097130
Syria,Asia,Western Asia,17070135
Cambodia,Asia,South-eastern Asia,16486542
Senegal,Africa,Western Africa,16296364
Chad,Africa,Middle Africa,15946876
Somalia,Africa,Eastern Africa,15442905
Zimbabwe,Africa,Eastern Africa,14645468
Guinea,Africa,Western Africa,12771246
Rwanda,Africa,Eastern Africa,12626950
Benin,Africa,Western Africa,11801151
Tunisia,Africa,Northern Africa,11694719
Belgium,Europe,Western Europe,11539328
Bolivia,Americas,South America,11513100
Cuba,Americas,Caribbean,11333483
Haiti,Americas,Caribbean,11263770
South Sudan,Africa,Eastern Africa,11062113
Burundi,Africa,Eastern Africa,10864245
Dominican Republic,Americas,Caribbean,10738958
Czech Republic,Europe,Eastern Europe,10689209
Greece,Europe,Southern Europe,10473455
Portugal,Europe,Southern Europe,10226187
Jordan,Asia,Western Asia,10101694
Azerbaijan,Asia,Western Asia,10047718
Sweden,Europe,Northern Europe,10036379
United Arab Emirates,Asia,Western Asia,9770529
Honduras,Americas,Central America,9746117
Hungary,Europe,Eastern Europe,9684679
Belarus,Europe,Eastern Europe,9452411
Tajikistan,Asia,Central Asia,9321018
Austria,Europe,Western Europe,8955102
Papua New Guinea,Oceania,Melanesia,8776109
Serbia,Europe,Southern Europe,8772235
Switzerland,Europe,Western Europe,8591365
Israel,Asia,Western Asia,8519377
Togo,Africa,Western Africa,8082366
Sierra Leone,Africa,Western Africa,7813215
Hong Kong,Asia,Eastern Asia,7436154
Laos,Asia,South-eastern Asia,7169455
Paraguay,Americas,South America,7044636
Bulgaria,Europe,Eastern Europe,7000119
Lebanon,Asia,Western Asia,6855713
Libya,Africa,Northern Africa,6777452
Nicaragua,Americas,Central America,6545502
El Salvador,Americas,Central America,6453553
Kyrgyzstan,Asia,Central Asia,6415850
Turkmenistan,Asia,Central Asia,5942089
Singapore,Asia,South-eastern Asia,5804337
Denmark,Europe,Northern Europe,5771876
Finland,Europe,Northern Europe,5532156
Slovakia,Europe,Eastern Europe,5457013
Congo,Africa,Middle Africa,5380508
Norway,Europe,Northern Europe,5378857
Costa Rica,Americas,Central America,5047561
Palestine,Asia,Western Asia,4981420
Oman,Asia,Western Asia,4974986
Liberia,Africa,Western Africa,4937374
Ireland,Europe,Northern Europe,4882495
New Zealand,Oceania,Australia and New Zealand,4783063
Central African Republic,Africa,Middle Africa,4745185
Mauritania,Africa,Western Africa,4525696
Panama,Americas,Central America,4246439
Kuwait,Asia,Western Asia,4207083
Croatia,Europe,Southern Europe,4130304
Moldova,Europe,Eastern Europe,4043263
Georgia,Asia,Western Asia,3996765
Eritrea,Africa,Eastern Africa,3497117
Uruguay,Americas,South America,3461734
Bosnia and Herzegovina,Europe,Southern Europe,3301000
Mongolia,Asia,Eastern Asia,3225167
Armenia,Asia,Western Asia,2957731
Jamaica,Americas,Caribbean,2948279
Puerto Rico,Americas,Caribbean,2933408
Albania,Europe,Southern Europe,2880917
Qatar,Asia,Western Asia,2832067
Lithuania,Europe,Northern Europe,2759627
Namibia,Africa,Southern Africa,2494530
Gambia,Africa,Western Africa,2347706
Botswana,Africa,Southern Africa,2303697
Gabon,Africa,Middle Africa,2172579
Lesotho,Africa,Southern Africa,2125268
North Macedonia,Europe,Southern Europe,2083459
Slovenia,Europe,Southern Europe,2078654
Guinea-Bissau,Africa,Western Africa,1920922
Latvia,Europe,Northern Europe,1906743
Bahrain,Asia,Western Asia,1641172
Trinidad and Tobago,Americas,Caribbean,1394973
Equatorial Guinea,Africa,Middle Africa,1355986
Estonia,Europe,Northern Europe,1325648
East Timor,Asia,South-eastern Asia,1293119
Mauritius,Africa,Eastern Africa,1198575
Cyprus,Asia,Western Asia,1179551
Eswatini,Africa,Southern Africa,1148130
Djibouti,Africa,Eastern Africa,973560
Fiji,Oceania,Melanesia,889953
Réunion,Africa,Eastern Africa,888927
Comoros,Africa,Eastern Africa,850886
Guyana,Americas,South America,782766
Bhutan,Asia,Southern Asia,763092
Solomon Islands,Oceania,Melanesia,669823
Macau,Asia,Eastern Asia,640445
Montenegro,Europe,Southern Europe,627987
Luxembourg,Europe,Western Europe,615729
Western Sahara,Africa,Northern Africa,582463
Suriname,Americas,South America,581372
Cape Verde,Africa,Western Africa,549935
Maldives,Asia,Southern Asia,530953
Guadeloupe,Americas,Caribbean,447905
Malta,Europe,Southern Europe,440372
Brunei,Asia,South-eastern Asia,433285
Belize,Americas,Central America,390353
Bahamas,Americas,Caribbean,389482
Martinique,Americas,Caribbean,375554
Iceland,Europe,Northern Europe,339031
Vanuatu,Oceania,Melanesia,299882
Barbados,Americas,Caribbean,287025
New Caledonia,Oceania,Melanesia,282750
French Guiana,Americas,South America,282731
French Polynesia,Oceania,Polynesia,279287
Mayotte,Africa,Eastern Africa,266150
São Tomé and Príncipe,Africa,Middle Africa,215056
Samoa,Oceania,Polynesia,197097
Saint Lucia,Americas,Caribbean,182790
Guernsey and  Jersey,Europe,Northern Europe,172259
Guam,Oceania,Micronesia,167294
Curaçao,Americas,Caribbean,163424
Kiribati,Oceania,Micronesia,117606
F.S. Micronesia,Oceania,Micronesia,113815
Grenada,Americas,Caribbean,112003
Tonga,Oceania,Polynesia,110940
Saint Vincent and the Grenadines,Americas,Caribbean,110589
Aruba,Americas,Caribbean,106314
U.S. Virgin Islands,Americas,Caribbean,104578
Seychelles,Africa,Eastern Africa,97739
Antigua and Barbuda,Americas,Caribbean,97118
Isle of Man,Europe,Northern Europe,84584
Andorra,Europe,Southern Europe,77142
Dominica,Americas,Caribbean,71808
Cayman Islands,Americas,Caribbean,64948
Bermuda,Americas,Northern America,62506
Marshall Islands,Oceania,Micronesia,58791
Greenland,Americas,Northern America,56672
Northern Mariana Islands,Oceania,Micronesia,56188
American Samoa,Oceania,Polynesia,55312
Saint Kitts and Nevis,Americas,Caribbean,52823
Faroe Islands,Europe,Northern Europe,48678
Sint Maarten,Americas,Caribbean,42388
Monaco,Europe,Western Europe,38964
Turks and Caicos Islands,Americas,Caribbean,38191
Liechtenstein,Europe,Western Europe,38019
San Marino,Europe,Southern Europe,33860
Gibraltar,Europe,Southern Europe,33701
British Virgin Islands,Americas,Caribbean,30030
Caribbean Netherlands,Americas,Caribbean,25979
Palau,Oceania,Micronesia,18008
Cook Islands,Oceania,Polynesia,17548
Anguilla,Americas,Caribbean,14869
Tuvalu,Oceania,Polynesia,11646
Wallis and Futuna,Oceania,Polynesia,11432
Nauru,Oceania,Micronesia,10756
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,6059
Saint Pierre and Miquelon,Americas,Northern America,5822
Montserrat,Americas,Caribbean,4989
Falkland Islands,Americas,South America,3377
Niue,Oceania,Polynesia,1615
Tokelau,Oceania,Polynesia,1340
Vatican City,Europe,Southern Europe,799
