continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Southern Europe,Albania,2880917,2020-03-19,4,1,59,2,0.020479590352655074,0.03389830508474576,0,1
Europe,Southern Europe,Albania,2880917,2020-03-20,11,0,70,2,0.024297819062472123,0.02857142857142857,1,1
Europe,Southern Europe,Albania,2880917,2020-03-21,0,0,70,2,0.024297819062472123,0.02857142857142857,2,1
Europe,Southern Europe,Albania,2880917,2020-03-22,6,0,76,2,0.02638048926782688,0.02631578947368421,3,1
Europe,Southern Europe,Albania,2880917,2020-03-23,13,0,89,2,0.030892941379428846,0.02247191011235955,4,1
Europe,Southern Europe,Albania,2880917,2020-03-24,11,2,100,4,0.03471117008924589,0.04,5,1
Europe,Southern Europe,Albania,2880917,2020-03-25,23,1,123,5,0.042694739209772445,0.04065040650406504,6,1
Europe,Southern Europe,Albania,2880917,2020-03-26,23,0,146,5,0.050678308330299,0.03424657534246575,7,1
Europe,Southern Europe,Albania,2880917,2020-03-27,28,1,174,6,0.06039743595528785,0.034482758620689655,8,1
Europe,Southern Europe,Andorra,77142,2020-03-14,1,0,2,0,0.025926213994970315,0,0,2
Europe,Southern Europe,Andorra,77142,2020-03-16,3,0,5,0,0.06481553498742579,0,1,2
Europe,Southern Europe,Andorra,77142,2020-03-17,9,0,14,0,0.1814834979647922,0,2,2
Europe,Southern Europe,Andorra,77142,2020-03-18,0,0,14,0,0.1814834979647922,0,3,2
Europe,Southern Europe,Andorra,77142,2020-03-19,39,0,53,0,0.6870446708667134,0,4,2
Europe,Southern Europe,Andorra,77142,2020-03-20,22,0,75,0,0.9722330248113867,0,5,2
Europe,Southern Europe,Andorra,77142,2020-03-21,0,0,75,0,0.9722330248113867,0,6,2
Europe,Southern Europe,Andorra,77142,2020-03-22,13,0,88,0,1.1407534157786938,0,7,2
Europe,Southern Europe,Andorra,77142,2020-03-23,25,0,113,0,1.4648310907158228,0,8,2
Europe,Southern Europe,Andorra,77142,2020-03-24,20,0,133,0,1.7240932306655259,0,9,2
Europe,Southern Europe,Andorra,77142,2020-03-25,31,0,164,0,2.125949547587566,0,10,2
Europe,Southern Europe,Andorra,77142,2020-03-26,24,0,188,0,2.4370641155272095,0,11,2
Europe,Southern Europe,Andorra,77142,2020-03-27,36,3,224,3,2.9037359674366754,0.013392857142857142,12,2
Asia,Western Asia,Armenia,2957731,2020-03-18,26,0,78,0,0.02637156658262702,0,0,3
Asia,Western Asia,Armenia,2957731,2020-03-19,37,0,115,0,0.03888115585900137,0,1,3
Asia,Western Asia,Armenia,2957731,2020-03-20,7,0,122,0,0.04124783491128842,0,2,3
Asia,Western Asia,Armenia,2957731,2020-03-21,14,0,136,0,0.045981193015862495,0,3,3
Asia,Western Asia,Armenia,2957731,2020-03-22,24,0,160,0,0.05409552119513235,0,4,3
Asia,Western Asia,Armenia,2957731,2020-03-23,30,0,190,0,0.06423843141921966,0,5,3
Asia,Western Asia,Armenia,2957731,2020-03-24,4,0,194,0,0.06559081944909798,0,6,3
Asia,Western Asia,Armenia,2957731,2020-03-25,71,0,265,0,0.08959570697943794,0,7,3
Asia,Western Asia,Armenia,2957731,2020-03-26,25,0,290,0,0.09804813216617739,0,8,3
Asia,Western Asia,Armenia,2957731,2020-03-27,39,1,329,1,0.1112339154574909,0.00303951367781155,9,3
Americas,Caribbean,Aruba,106314,2020-03-20,2,0,4,0,0.03762439565814474,0,0,4
Americas,Caribbean,Aruba,106314,2020-03-24,8,0,12,0,0.11287318697443423,0,1,4
Americas,Caribbean,Aruba,106314,2020-03-25,5,0,17,0,0.15990368154711515,0,2,4
Americas,Caribbean,Aruba,106314,2020-03-26,2,0,19,0,0.17871587937618752,0,3,4
Americas,Caribbean,Aruba,106314,2020-03-27,9,0,28,0,0.26337076960701317,0,4,4
Oceania,Australia and New Zealand,Australia,25203198,2020-03-19,111,1,565,6,0.022417789996333006,0.010619469026548672,0,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-20,144,0,709,6,0.02813135063256655,0.00846262341325811,1,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-21,165,1,874,7,0.034678138861584155,0.008009153318077803,2,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-22,224,0,1098,7,0.04356589985128077,0.006375227686703097,3,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-23,611,0,1709,7,0.06780885505085506,0.004095962551199532,4,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-24,114,0,1823,7,0.07233209055453994,0.0038398244651673065,5,5
Oceania,Australia and New Zealand,Australia,25203198,2020-03-25,600,1,2423,8,0.09613859320551305,0.0033016921172100704,6,5
