continent,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Armenia,2951776,2020-03-18,26,0,78,0,0.02642476935919257,0,0,1
Europe,Armenia,2951776,2020-03-19,37,0,115,0,0.03895959585009161,0,1,1
Europe,Armenia,2951776,2020-03-20,7,0,122,0,0.041331049510531966,0,2,1
Europe,Armenia,2951776,2020-03-21,14,0,136,0,0.04607395683141268,0,3,1
Europe,Armenia,2951776,2020-03-22,24,0,160,0,0.054204655095779625,0,4,1
Europe,Armenia,2951776,2020-03-23,30,0,190,0,0.06436802792623832,0,5,1
Europe,Armenia,2951776,2020-03-24,4,0,194,0,0.0657231443036328,0,6,1
Europe,Armenia,2951776,2020-03-25,71,0,265,0,0.08977646000238501,0,7,1
Europe,Armenia,2951776,2020-03-26,25,0,290,0,0.09824593736110057,0,8,1
Europe,Armenia,2951776,2020-03-27,39,1,329,1,0.11145832204069686,0.00303951367781155,9,1
Europe,Armenia,2951776,2020-03-28,43,0,372,1,0.12602582309768762,0.002688172043010753,10,1
Europe,Armenia,2951776,2020-03-29,52,2,424,3,0.143642336003816,0.007075471698113208,11,1
Europe,Armenia,2951776,2020-03-30,0,0,424,3,0.143642336003816,0.007075471698113208,12,1
Europe,Armenia,2951776,2020-03-31,58,0,482,3,0.16329152347603612,0.006224066390041493,13,1
Europe,Armenia,2951776,2020-04-01,50,0,532,3,0.18023047819346724,0.005639097744360902,14,1
Europe,Armenia,2951776,2020-04-02,39,0,571,3,0.19344286287306356,0.005253940455341506,15,1
Europe,Armenia,2951776,2020-04-03,92,1,663,4,0.2246105395531368,0.006033182503770739,16,1
Europe,Armenia,2951776,2020-04-04,73,3,736,7,0.24934141344058627,0.009510869565217392,17,1
Europe,Armenia,2951776,2020-04-05,34,0,770,7,0.26085990264843945,0.00909090909090909,18,1
Europe,Armenia,2951776,2020-04-06,52,0,822,7,0.2784764155545678,0.00851581508515815,19,1
Europe,Armenia,2951776,2020-04-07,11,1,833,8,0.2822029855924027,0.009603841536614645,20,1
Europe,Armenia,2951776,2020-04-08,20,0,853,8,0.2889785674793751,0.009378663540445486,21,1
Europe,Armenia,2951776,2020-04-09,28,1,881,9,0.2984643821211366,0.01021566401816118,22,1
Europe,Armenia,2951776,2020-04-10,40,1,921,10,0.31201554589508146,0.010857763300760043,23,1
Europe,Armenia,2951776,2020-04-11,16,1,937,11,0.31743601140465943,0.011739594450373533,24,1
Europe,Armenia,2951776,2020-04-12,30,2,967,13,0.3275993842351181,0.01344364012409514,25,1
Europe,Armenia,2951776,2020-04-13,46,0,1013,13,0.34318322257515477,0.012833168805528134,26,1
Europe,Armenia,2951776,2020-04-14,26,1,1039,14,0.351991479028219,0.013474494706448507,27,1
Europe,Armenia,2951776,2020-04-15,72,3,1111,17,0.37638357382131976,0.0153015301530153,28,1
Europe,Armenia,2951776,2020-04-16,48,1,1159,18,0.39264497035005363,0.015530629853321829,29,1
Europe,Armenia,2951776,2020-04-17,42,1,1201,19,0.4068736923126958,0.01582014987510408,30,1
Europe,Armenia,2951776,2020-04-18,47,1,1248,20,0.4227963097470811,0.016025641025641024,31,1
Europe,Armenia,2951776,2020-04-19,43,0,1291,20,0.43736381080407183,0.015491866769945779,32,1
Europe,Armenia,2951776,2020-04-20,48,2,1339,22,0.45362520733280576,0.016430171769977596,33,1
Europe,Armenia,2951776,2020-04-21,62,2,1401,24,0.47462951118242036,0.017130620985010708,34,1
Europe,Armenia,2951776,2020-04-22,72,0,1473,24,0.49902160597552114,0.016293279022403257,35,1
Europe,Armenia,2951776,2020-04-23,50,0,1523,24,0.5159605606929524,0.015758371634931056,36,1
Europe,Armenia,2951776,2020-04-24,73,3,1596,27,0.5406914345804018,0.016917293233082706,37,1
Europe,Armenia,2951776,2020-04-25,81,1,1677,28,0.5681325412226402,0.016696481812760882,38,1
Europe,Armenia,2951776,2020-04-26,69,0,1746,28,0.5915082987326952,0.016036655211912942,39,1
Europe,Armenia,2951776,2020-04-27,62,1,1808,29,0.6125126025823098,0.016039823008849558,40,1
Europe,Armenia,2951776,2020-04-28,59,1,1867,30,0.6325005691488785,0.016068559185859668,41,1
Europe,Armenia,2951776,2020-04-29,65,0,1932,30,0.654521210281539,0.015527950310559006,42,1
Europe,Armenia,2951776,2020-04-30,0,0,1932,30,0.654521210281539,0.015527950310559006,43,1
Europe,Armenia,2951776,2020-05-01,134,2,2066,32,0.6999176089242545,0.015488867376573089,44,1
Europe,Armenia,2951776,2020-05-02,82,1,2148,33,0.7276974946608415,0.015363128491620111,45,1
Europe,Armenia,2951776,2020-05-03,125,0,2273,33,0.7700448814544193,0.014518257809062912,46,1
Europe,Armenia,2951776,2020-05-04,113,2,2386,35,0.8083269191158137,0.014668901927912825,47,1
Europe,Armenia,2951776,2020-05-05,121,4,2507,39,0.849319189531997,0.015556441962504986,48,1
Europe,Armenia,2951776,2020-05-06,112,1,2619,40,0.8872624480990428,0.015273004963726614,49,1
Europe,Armenia,2951776,2020-05-07,163,0,2782,40,0.9424834404778681,0.014378145219266714,50,1
Europe,Armenia,2951776,2020-05-08,102,2,2884,42,0.9770389081014278,0.014563106796116505,51,1
Europe,Armenia,2951776,2020-05-09,145,1,3029,43,1.026161876781978,0.014196104324859689,52,1
Europe,Armenia,2951776,2020-05-10,146,1,3175,44,1.0756236245568769,0.013858267716535434,53,1
Europe,Armenia,2951776,2020-05-11,138,1,3313,45,1.1223751395769868,0.013582855418050106,54,1
Europe,Armenia,2951776,2020-05-12,79,1,3392,46,1.149138688030528,0.013561320754716982,55,1
Europe,Armenia,2951776,2020-05-13,146,1,3538,47,1.198600435805427,0.013284341435839458,56,1
Europe,Armenia,2951776,2020-05-14,180,1,3718,48,1.259580672788179,0.012910166756320602,57,1
Europe,Armenia,2951776,2020-05-15,142,1,3860,49,1.3076873041856834,0.012694300518134714,58,1
Europe,Armenia,2951776,2020-05-16,184,3,4044,52,1.37002265754583,0.012858555885262116,59,1
Europe,Armenia,2951776,2020-05-17,239,3,4283,55,1.4509908610951507,0.012841466261965912,60,1
Europe,Armenia,2951776,2020-05-18,189,5,4472,60,1.5150201099270406,0.013416815742397137,61,1
Europe,Armenia,2951776,2020-05-19,351,1,4823,61,1.633931572043407,0.012647729628861704,62,1
Europe,Armenia,2951776,2020-05-20,218,3,5041,64,1.7077854146114069,0.012695893671890498,63,1
Europe,Armenia,2951776,2020-05-21,230,3,5271,67,1.78570460631159,0.01271106051982546,64,1
Europe,Armenia,2951776,2020-05-22,335,3,5606,70,1.8991956029183787,0.012486621476988941,65,1
Europe,Armenia,2951776,2020-05-23,322,4,5928,74,2.008282471298635,0.012483130904183536,66,1
Europe,Armenia,2951776,2020-05-24,374,3,6302,77,2.1349858525850203,0.012218343383052999,67,1
Europe,Armenia,2951776,2020-05-25,359,4,6661,81,2.2566075474561753,0.012160336285842966,68,1
Europe,Armenia,2951776,2020-05-26,452,6,7113,87,2.4097356981017533,0.012231126107127795,69,1
Europe,Austria,8847037,2020-03-11,51,0,182,0,0.020571859256381542,0,0,2
Europe,Austria,8847037,2020-03-12,64,0,246,0,0.02780591965423,0,1,2
Europe,Austria,8847037,2020-03-13,115,1,361,1,0.04080462193161394,0.002770083102493075,2,2
Europe,Austria,8847037,2020-03-14,143,0,504,1,0.056968225633056584,0.001984126984126984,3,2
Europe,Austria,8847037,2020-03-15,151,0,655,1,0.07403608688423027,0.0015267175572519084,4,2
Europe,Austria,8847037,2020-03-16,205,0,860,1,0.09720768659608861,0.0011627906976744186,5,2
Europe,Austria,8847037,2020-03-17,156,2,1016,3,0.11484070881584421,0.002952755905511811,6,2
Europe,Austria,8847037,2020-03-18,316,0,1332,3,0.15055888203022097,0.0022522522522522522,7,2
Europe,Austria,8847037,2020-03-19,314,1,1646,4,0.18605099085716495,0.002430133657351154,8,2
Europe,Austria,8847037,2020-03-20,550,2,2196,6,0.24821869740117508,0.00273224043715847,9,2
Europe,Austria,8847037,2020-03-21,453,0,2649,6,0.29942228115469616,0.0022650056625141564,10,2
Europe,Austria,8847037,2020-03-22,375,2,3024,8,0.3418093537983395,0.0026455026455026454,11,2
Europe,Austria,8847037,2020-03-23,607,8,3631,16,0.41041989538418344,0.004406499586890664,12,2
Europe,Austria,8847037,2020-03-24,855,9,4486,25,0.5070624210116901,0.005572893446277307,13,2
Europe,Austria,8847037,2020-03-25,796,5,5282,30,0.5970360472099303,0.005679666792881484,14,2
Europe,Austria,8847037,2020-03-26,606,4,5888,34,0.6655335566020578,0.00577445652173913,15,2
Europe,Austria,8847037,2020-03-27,1141,18,7029,52,0.7945032896324499,0.007397922890880637,16,2
Europe,Austria,8847037,2020-03-28,668,16,7697,68,0.8700087950349931,0.00883461088735871,17,2
Europe,Austria,8847037,2020-03-29,594,0,8291,68,0.9371499181025241,0.008201664455433603,18,2
Europe,Austria,8847037,2020-03-30,522,18,8813,86,0.9961527232224755,0.009758311585158289,19,2
Europe,Austria,8847037,2020-03-31,805,22,9618,108,1.0871436391641631,0.011228945726762321,20,2
Europe,Austria,8847037,2020-04-01,564,20,10182,128,1.1508937964202026,0.012571204085641328,21,2
Europe,Austria,8847037,2020-04-02,529,18,10711,146,1.2106878268961687,0.013630846793016524,22,2
Europe,Austria,8847037,2020-04-03,418,12,11129,158,1.2579352838696163,0.014197142600413335,23,2
Europe,Austria,8847037,2020-04-04,396,10,11525,168,1.302696032581304,0.01457700650759219,24,2
Europe,Austria,8847037,2020-04-05,241,18,11766,186,1.3299367912669517,0.01580826109127996,25,2
Europe,Austria,8847037,2020-04-06,217,18,11983,204,1.3544647773034069,0.01702411749979137,26,2
Europe,Austria,8847037,2020-04-07,314,16,12297,220,1.3899568861303506,0.017890542408717573,27,2
Europe,Austria,8847037,2020-04-08,343,23,12640,243,1.4287269285750699,0.019224683544303796,28,2
Europe,Austria,8847037,2020-04-09,329,30,12969,273,1.4659145203077595,0.021050196622715706,29,2
Europe,Austria,8847037,2020-04-10,279,22,13248,295,1.49745050235463,0.022267512077294684,30,2
Europe,Austria,8847037,2020-04-11,312,24,13560,319,1.5327165467941413,0.023525073746312686,31,2
Europe,Austria,8847037,2020-04-12,247,18,13807,337,1.5606354986420878,0.02440790903165061,32,2
Europe,Austria,8847037,2020-04-13,130,13,13937,350,1.5753296838252175,0.025113008538422903,33,2
Europe,Austria,8847037,2020-04-14,106,18,14043,368,1.587311096359154,0.02620522680338959,34,2
Europe,Austria,8847037,2020-04-15,191,16,14234,384,1.608900245358983,0.026977659126036252,35,2
Europe,Austria,8847037,2020-04-16,136,9,14370,393,1.6242726237044107,0.027348643006263048,36,2
Europe,Austria,8847037,2020-04-17,78,17,14448,410,1.6330891348142889,0.02837763012181617,37,2
Europe,Austria,8847037,2020-04-18,155,21,14603,431,1.6506091248403278,0.029514483325344107,38,2
Europe,Austria,8847037,2020-04-19,59,12,14662,443,1.6572780242695944,0.030214159050607012,39,2
Europe,Austria,8847037,2020-04-20,48,9,14710,452,1.6627035695679808,0.03072739632902787,40,2
Europe,Austria,8847037,2020-04-21,73,10,14783,462,1.6709549197092768,0.031252113914631674,41,2
Europe,Austria,8847037,2020-04-22,50,1,14833,463,1.6766065293950958,0.031214184588417716,42,2
Europe,Austria,8847037,2020-04-23,91,31,14924,494,1.6868924590232866,0.033101045296167246,43,2
Europe,Austria,8847037,2020-04-24,61,14,14985,508,1.6937874228399858,0.033900567233900565,44,2
Europe,Austria,8847037,2020-04-25,83,5,15068,513,1.7031690949184455,0.034045659676134855,45,2
Europe,Austria,8847037,2020-04-26,66,23,15134,536,1.7106292197037267,0.035416941984934586,46,2
Europe,Austria,8847037,2020-04-27,55,6,15189,542,1.716845990358128,0.03568371848047929,47,2
Europe,Austria,8847037,2020-04-28,67,7,15256,549,1.7244191473371253,0.03598584163607761,48,2
Europe,Austria,8847037,2020-04-29,58,20,15314,569,1.7309750145726757,0.03715554394671542,49,2
Europe,Austria,8847037,2020-04-30,50,11,15364,580,1.7366266242584947,0.037750585784951836,50,2
Europe,Austria,8847037,2020-05-01,60,4,15424,584,1.7434085558814776,0.037863070539419084,51,2
Europe,Austria,8847037,2020-05-02,34,5,15458,589,1.7472516504678346,0.03810324750938025,52,2
Europe,Austria,8847037,2020-05-03,12,7,15470,596,1.748608036792431,0.03852617970265029,53,2
Europe,Austria,8847037,2020-05-04,68,2,15538,598,1.756294225965145,0.03848629167202986,54,2
Europe,Austria,8847037,2020-05-05,31,2,15569,600,1.7597982239703531,0.03853812062431755,55,2
Europe,Austria,8847037,2020-05-06,17,6,15586,606,1.7617197712635315,0.03888104709354549,56,2
Europe,Austria,8847037,2020-05-07,65,2,15651,608,1.7690668638550964,0.038847357996294164,57,2
Europe,Austria,8847037,2020-05-08,22,1,15673,609,1.771553572116857,0.038856632425189816,58,2
Europe,Austria,8847037,2020-05-09,62,5,15735,614,1.7785615681272724,0.03902129011757229,59,2
Europe,Austria,8847037,2020-05-10,42,1,15777,615,1.7833089202633605,0.03898079482791405,60,2
Europe,Austria,8847037,2020-05-11,10,3,15787,618,1.7844392422005242,0.03914613289415342,61,2
Europe,Austria,8847037,2020-05-12,87,2,15874,620,1.7942730430538496,0.03905757843013733,62,2
Europe,Austria,8847037,2020-05-13,36,3,15910,623,1.7983422020276392,0.039157762413576366,63,2
Europe,Austria,8847037,2020-05-14,54,1,15964,624,1.804445940488324,0.03908794788273615,64,2
Europe,Austria,8847037,2020-05-15,41,2,16005,626,1.8090802604306957,0.039112777257107156,65,2
Europe,Austria,8847037,2020-05-16,63,2,16068,628,1.8162012886348278,0.039083893452825494,66,2
Europe,Austria,8847037,2020-05-17,72,0,16140,628,1.8243396065824073,0.03890954151177199,67,2
Europe,Austria,8847037,2020-05-18,14,1,16154,629,1.8259220572944366,0.03893772440262474,68,2
Europe,Austria,8847037,2020-05-19,25,0,16179,629,1.828747862137346,0.03887755732739972,69,2
Europe,Austria,8847037,2020-05-20,78,3,16257,632,1.837564373247224,0.038875561296672204,70,2
Europe,Austria,8847037,2020-05-21,18,1,16275,633,1.8395989527341188,0.038894009216589864,71,2
Europe,Austria,8847037,2020-05-22,57,0,16332,633,1.8460417877759527,0.0387582659808964,72,2
Europe,Austria,8847037,2020-05-23,29,2,16361,635,1.8493197213937276,0.03881180856915836,73,2
Europe,Austria,8847037,2020-05-24,46,4,16407,639,1.8545192023046813,0.038946791003839826,74,2
Europe,Austria,8847037,2020-05-25,32,1,16439,640,1.8581362325036053,0.03893180850416692,75,2
Europe,Austria,8847037,2020-05-26,20,1,16459,641,1.8603968763779333,0.0389452579136035,76,2
Asia,Bahrain,1569439,2020-02-27,10,0,33,0,0.02102662161447498,0,0,3
Asia,Bahrain,1569439,2020-02-28,0,0,33,0,0.02102662161447498,0,1,3
Asia,Bahrain,1569439,2020-02-29,5,0,38,0,0.02421247337424392,0,2,3
Asia,Bahrain,1569439,2020-03-01,3,0,41,0,0.02612398443010528,0,3,3
Asia,Bahrain,1569439,2020-03-02,6,0,47,0,0.029947006541828,0,4,3
Asia,Bahrain,1569439,2020-03-04,2,0,49,0,0.031221347245735574,0,5,3
Asia,Bahrain,1569439,2020-03-05,3,0,52,0,0.033132858301596936,0,6,3
