continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Southern Europe,Albania,2880917,2020-04-29,14,2,750,30,0.2603337756693441,0.010413351026773767,1,1
Europe,Southern Europe,Albania,2880917,2020-04-30,16,1,766,31,0.26588756288362353,0.010760462727666226,2,1
Europe,Southern Europe,Albania,2880917,2020-05-01,7,0,773,31,0.26831734478987074,0.010760462727666226,3,1
Europe,Southern Europe,Albania,2880917,2020-05-02,9,0,782,31,0.2714413500979028,0.010760462727666226,4,1
Europe,Southern Europe,Albania,2880917,2020-05-03,7,0,789,31,0.2738711320041501,0.010760462727666226,5,1
Europe,Southern Europe,Albania,2880917,2020-05-04,6,0,795,31,0.27595380220950483,0.010760462727666226,6,1
Europe,Southern Europe,Albania,2880917,2020-05-05,8,0,803,31,0.27873069581664445,0.010760462727666226,7,1
Europe,Southern Europe,Albania,2880917,2020-05-06,17,0,820,31,0.2846315947318163,0.010760462727666226,8,1
Europe,Southern Europe,Albania,2880917,2020-05-07,12,0,832,31,0.2887969351425258,0.010760462727666226,9,1
Europe,Southern Europe,Albania,2880917,2020-05-08,10,0,842,31,0.2922680521514504,0.010760462727666226,10,1
Europe,Southern Europe,Albania,2880917,2020-05-09,8,0,850,31,0.29504494575859,0.010760462727666226,11,1
Europe,Southern Europe,Albania,2880917,2020-05-10,6,0,856,31,0.2971276159639448,0.010760462727666226,12,1
Europe,Southern Europe,Albania,2880917,2020-05-11,12,0,868,31,0.3012929563746543,0.010760462727666226,13,1
Europe,Southern Europe,Albania,2880917,2020-05-12,4,0,872,31,0.3026814031782242,0.010760462727666226,14,1
Africa,Northern Africa,Algeria,43053054,2020-05-04,179,4,4474,463,0.10391829578454527,0.010754173211498538,1,2
Africa,Northern Africa,Algeria,43053054,2020-05-05,174,2,4648,465,0.10795982092234385,0.010800627523427257,2,2
Africa,Northern Africa,Algeria,43053054,2020-05-06,190,5,4838,470,0.11237298055557221,0.010916763303249056,3,2
Africa,Northern Africa,Algeria,43053054,2020-05-07,159,6,4997,476,0.1160660983539054,0.011056126239035215,4,2
Africa,Northern Africa,Algeria,43053054,2020-05-08,185,7,5182,483,0.12036312220731193,0.011218716330785732,5,2
Africa,Northern Africa,Algeria,43053054,2020-05-09,187,5,5369,488,0.12470660037264719,0.011334852110607531,6,2
Africa,Northern Africa,Algeria,43053054,2020-05-10,189,6,5558,494,0.12909653284991118,0.011474215046393689,7,2
