continent,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Albania,2866376,2020-04-29,14,2,750,30,0.26165443751971135,0.010466177500788452,1,1
Europe,Albania,2866376,2020-04-30,16,1,766,31,0.2672363988534651,0.010815050084148067,2,1
Europe,Albania,2866376,2020-05-01,7,0,773,31,0.2696785069369824,0.010815050084148067,3,1
Europe,Albania,2866376,2020-05-02,9,0,782,31,0.272818360187219,0.010815050084148067,4,1
Europe,Albania,2866376,2020-05-03,7,0,789,31,0.2752604682707363,0.010815050084148067,5,1
Europe,Albania,2866376,2020-05-04,6,0,795,31,0.27735370377089397,0.010815050084148067,6,1
Europe,Albania,2866376,2020-05-05,8,0,803,31,0.2801446844377709,0.010815050084148067,7,1
Europe,Albania,2866376,2020-05-06,17,0,820,31,0.2860755183548844,0.010815050084148067,8,1
Europe,Albania,2866376,2020-05-07,12,0,832,31,0.29026198935519976,0.010815050084148067,9,1
Europe,Albania,2866376,2020-05-08,10,0,842,31,0.2937507151887959,0.010815050084148067,10,1
Europe,Albania,2866376,2020-05-09,8,0,850,31,0.2965416958556728,0.010815050084148067,11,1
Europe,Albania,2866376,2020-05-10,6,0,856,31,0.2986349313558305,0.010815050084148067,12,1
Europe,Albania,2866376,2020-05-11,12,0,868,31,0.3028214023561459,0.010815050084148067,13,1
Europe,Albania,2866376,2020-05-12,4,0,872,31,0.30421689268958435,0.010815050084148067,14,1
Europe,Albania,2866376,2020-05-13,4,0,876,31,0.3056123830230228,0.010815050084148067,15,1
Europe,Albania,2866376,2020-05-14,4,0,880,31,0.30700787335646124,0.010815050084148067,16,1
Europe,Albania,2866376,2020-05-15,18,0,898,31,0.31328757985693434,0.010815050084148067,17,1
Europe,Albania,2866376,2020-05-16,18,0,916,31,0.3195672863574074,0.010815050084148067,18,1
Europe,Albania,2866376,2020-05-17,17,0,933,31,0.32549812027452085,0.010815050084148067,19,1
Europe,Albania,2866376,2020-05-18,13,0,946,31,0.3300334638581959,0.010815050084148067,20,1
Europe,Albania,2866376,2020-05-19,2,0,948,31,0.33073120902491504,0.010815050084148067,21,1
Africa,Algeria,42228429,2020-04-27,126,6,3382,425,0.08008822681989898,0.010064309993630121,1,2
Africa,Algeria,42228429,2020-04-28,135,7,3517,432,0.08328512528846385,0.010230075099407559,2,2
Africa,Algeria,42228429,2020-04-29,132,5,3649,437,0.08641098156883838,0.010348478746391441,3,2
Africa,Algeria,42228429,2020-04-30,199,7,3848,444,0.09112344671879695,0.010514243852168878,4,2
Africa,Algeria,42228429,2020-05-01,158,6,4006,450,0.09486500196348767,0.01065632822854954,5,2
Africa,Algeria,42228429,2020-05-02,148,3,4154,453,0.09836974991421064,0.010727370416739868,6,2
Africa,Algeria,42228429,2020-05-03,141,6,4295,459,0.10170873275915616,0.01086945479312053,7,2
Africa,Algeria,42228429,2020-05-04,179,4,4474,463,0.10594758332117919,0.010964177710707637,8,2
Africa,Algeria,42228429,2020-05-05,174,2,4648,465,0.11006803023621836,0.01101153916950119,9,2
Africa,Algeria,42228429,2020-05-06,190,5,4838,470,0.11456736882160594,0.011129942816485074,10,2
Africa,Algeria,42228429,2020-05-07,159,6,4997,476,0.11833260479569345,0.011272027192865734,11,2
Africa,Algeria,42228429,2020-05-08,185,7,5182,483,0.12271353973409714,0.011437792298643171,12,2
Africa,Algeria,42228429,2020-05-09,187,5,5369,488,0.1271418361312944,0.011556195945627056,13,2
Africa,Algeria,42228429,2020-05-10,189,6,5558,494,0.1316174939872852,0.011698280322007716,14,2
Africa,Algeria,42228429,2020-05-11,165,8,5723,502,0.13552481433775335,0.011887726157181932,15,2
Africa,Algeria,42228429,2020-05-12,168,5,5891,507,0.13950317687641187,0.012006129804165813,16,2
