dags,tegund,fjoldi,dagar
2020-02-27,Annad,0,0
2020-02-28,Annad,0,1
2020-02-29,Annad,0,2
2020-03-01,Annad,0,3
2020-03-02,Annad,0,4
2020-03-03,Annad,0,5
2020-03-04,Annad,0,6
2020-03-05,Annad,0,7
2020-03-06,Annad,0,8
2020-03-07,Annad,0,9
2020-03-08,Annad,0,10
2020-03-09,Annad,0,11
2020-03-10,Annad,0,12
2020-03-11,Annad,0,13
2020-03-12,Annad,0,14
2020-03-13,Annad,0,15
2020-03-14,Annad,0,16
2020-03-15,Annad,0,17
2020-03-16,Annad,NA,18
2020-03-17,Annad,NA,19
2020-02-27,Erlendis,0,0
2020-02-28,Erlendis,1,1
2020-02-29,Erlendis,3,2
2020-03-01,Erlendis,6,3
2020-03-02,Erlendis,11,4
2020-03-03,Erlendis,26,5
2020-03-04,Erlendis,34,6
2020-03-05,Erlendis,40,7
2020-03-06,Erlendis,43,8
2020-03-07,Erlendis,45,9
2020-03-08,Erlendis,50,10
2020-03-09,Erlendis,54,11
2020-03-10,Erlendis,65,12
2020-03-11,Erlendis,87,13
2020-03-12,Erlendis,98,14
2020-03-13,Erlendis,112,15
2020-03-14,Erlendis,121,16
2020-03-15,Erlendis,128,17
2020-03-16,Erlendis,NA,18
2020-03-17,Erlendis,NA,19
2020-02-27,Innanlands,0,0
2020-02-28,Innanlands,0,1
2020-02-29,Innanlands,0,2
2020-03-01,Innanlands,0,3
2020-03-02,Innanlands,0,4
2020-03-03,Innanlands,0,5
2020-03-04,Innanlands,0,6
2020-03-05,Innanlands,3,7
2020-03-06,Innanlands,7,8
2020-03-07,Innanlands,10,9
2020-03-08,Innanlands,10,10
2020-03-09,Innanlands,16,11
2020-03-10,Innanlands,20,12
2020-03-11,Innanlands,22,13
2020-03-12,Innanlands,30,14
2020-03-13,Innanlands,49,15
2020-03-14,Innanlands,60,16
2020-03-15,Innanlands,70,17
2020-03-16,Innanlands,NA,18
2020-03-17,Innanlands,NA,19
2020-02-27,Ny_Smit,0,0
2020-02-28,Ny_Smit,1,1
2020-02-29,Ny_Smit,1,2
2020-03-01,Ny_Smit,2,3
2020-03-02,Ny_Smit,8,4
2020-03-03,Ny_Smit,5,5
2020-03-04,Ny_Smit,13,6
2020-03-05,Ny_Smit,9,7
2020-03-06,Ny_Smit,8,8
2020-03-07,Ny_Smit,6,9
2020-03-08,Ny_Smit,6,10
2020-03-09,Ny_Smit,9,11
2020-03-10,Ny_Smit,13,12
2020-03-11,Ny_Smit,24,13
2020-03-12,Ny_Smit,16,14
2020-03-13,Ny_Smit,20,15
2020-03-14,Ny_Smit,24,16
2020-03-15,Ny_Smit,19,17
2020-03-16,Ny_Smit,18,18
2020-03-17,Ny_Smit,48,19
2020-02-27,Samtals,0,0
2020-02-28,Samtals,1,1
2020-02-29,Samtals,2,2
2020-03-01,Samtals,4,3
2020-03-02,Samtals,12,4
2020-03-03,Samtals,17,5
2020-03-04,Samtals,30,6
2020-03-05,Samtals,39,7
2020-03-06,Samtals,47,8
2020-03-07,Samtals,53,9
2020-03-08,Samtals,59,10
2020-03-09,Samtals,68,11
2020-03-10,Samtals,81,12
2020-03-11,Samtals,105,13
2020-03-12,Samtals,121,14
2020-03-13,Samtals,141,15
2020-03-14,Samtals,165,16
2020-03-15,Samtals,184,17
2020-03-16,Samtals,202,18
2020-03-17,Samtals,250,19
