country,First,Days_In_Data,Start_Rate,End_Rate
Andorra,2020-03-14,10,0.025926213994970315,1.7240932306655259
Austria,2020-03-11,14,0.020323609937664584,0.5009434845074908
Bahrain,2020-02-27,26,0.020107581655061137,0.20655970245653715
Belgium,2020-03-10,15,0.020711778016882787,0.3243689753857417
Cyprus,2020-03-16,9,0.025433406440247178,0.09834250490228909
Czech Republic,2020-03-15,10,0.020020190455626793,0.11563063272502203
Estonia,2020-03-13,12,0.020367397680228837,0.2655305179052056
Finland,2020-03-13,11,0.028018009615057852,0.1265329466486484
France,2020-03-10,15,0.021679808028677777,0.3048684619103583
Germany,2020-03-13,12,0.028365467192954446,0.3497729116254053
Greece,2020-03-15,10,0.021769320630107256,0.066358236131248
Iceland,2020-03-02,22,0.035394993378186655,1.9113296424220794
Iran,2020-03-04,21,0.028173802353491827,0.2779871448825484
Ireland,2020-03-15,10,0.026420917993771626,0.23041498250382234
Israel,2020-03-15,10,0.020893546558627466,0.1692612030198922
Italy,2020-03-02,23,0.02789426767844631,1.0557707814565052
Kuwait,2020-03-14,11,0.023769438349564295,0.04492423848067652
Liechtenstein,2020-03-05,14,0.026302638154606907,1.209921355111918
Maldives,2020-03-16,9,0.02448427638604547,0.02448427638604547
Malta,2020-03-13,12,0.0204372666745388,0.2429763926861835
Monaco,2020-02-29,13,0.0256647161482394,0.5902884714095061
Netherlands,2020-03-11,14,0.022342931240506448,0.27776591743760504
Norway,2020-03-07,18,0.02100818073430842,0.44079996921279
Portugal,2020-03-16,9,0.023958098947339808,0.2014436074755918
San Marino,2020-02-28,25,0.029533372711163616,5.522740696987596
Seychelles,2020-03-15,10,0.02046266075977859,0.07161931265922508
Singapore,2020-03-06,19,0.020157340967624726,0.08769304745744431
Slovenia,2020-03-12,13,0.027421591087309384,0.21263760106299556
South Korea,2020-02-26,28,0.022371754211804835,0.17641670402450288
Spain,2020-03-10,15,0.02576129769841206,0.7079863617464757
Sweden,2020-03-09,16,0.020226418312819794,0.20086925772731382
Switzerland,2020-03-07,18,0.02432675133695286,0.9329134543812305
United Kingdom,2020-03-16,9,0.02059820016451313,0.09847450114594702
