country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,19,0.10552195707130752,0.21139102584350747
Armenia,2020-03-27,27,0.1112339154574909,0.49801689200268723
Australia,2020-03-26,28,0.11105733486678952,0.2637363718683637
Austria,2020-03-17,37,0.1134548774542155,1.6563742099196637
Azerbaijan,2020-04-12,11,0.10529754119293555,0.14729712756667734
Bahamas,2020-04-09,14,0.1027005099080317,0.1668883286005515
Bahrain,2020-03-14,40,0.1279573378049345,1.2021896547101707
Barbados,2020-03-30,24,0.1149725633655605,0.2613012803762738
Belarus,2020-04-09,14,0.11277546014450704,0.7112471093353854
Belgium,2020-03-18,36,0.10771857771960378,3.549253474725738
Bosnia And Herzegovina,2020-03-31,23,0.10693729172977885,0.40593759466828233
Brazil,2020-04-13,10,0.10504169478664598,0.20411796516369354
Bulgaria,2020-04-15,8,0.1018554113151505,0.13928334646882432
Canada,2020-03-27,27,0.10740143145419052,1.0267822763687957
Cape Verde,2020-04-16,7,0.10001181957867748,0.1218325802140253
Chile,2020-03-29,25,0.10072795337366884,0.5715480308766793
Costa Rica,2020-04-10,13,0.10678424688676373,0.1325392600505472
Croatia,2020-03-26,28,0.10120320441304079,0.46195146894756417
Cyprus,2020-03-25,29,0.10512474661968833,0.6646596883051262
Denmark,2020-03-13,41,0.11711963320071324,1.3331887240820834
Djibouti,2020-04-08,15,0.1242861251489379,0.9706643658326143
Dominican Republic,2020-04-01,22,0.10326886463286289,0.4696917522165558
Ecuador,2020-03-29,25,0.10561964426382878,0.5984921313652816
Estonia,2020-03-16,38,0.1289935186414493,1.1707481925820429
Finland,2020-03-23,31,0.11315660657436269,0.7255760683538208
France,2020-03-17,37,0.10184289423103379,1.801389374756793
French Polynesia,2020-03-27,27,0.10741638529541297,0.20409113206128462
Germany,2020-03-20,34,0.1692828092756395,1.744482219168554
Greece,2020-03-29,25,0.10130372451115702,0.22924622295126107
Hungary,2020-04-09,14,0.10119075707103972,0.22385873605103482
Iceland,2020-03-05,48,0.10913456291607551,5.265005265005265
Iran,2020-03-12,42,0.10854632756054214,1.022771741087677
Ireland,2020-03-20,34,0.1140810180041147,3.285205617210053
Israel,2020-03-22,32,0.10364607646779805,1.6365046411257536
Italy,2020-03-09,45,0.12180001428569659,3.0380969800615443
Kuwait,2020-04-05,18,0.11385560969441297,0.49440431767093734
Latvia,2020-03-25,29,0.10331754200749656,0.3922919869117128
Lithuania,2020-03-27,27,0.10834797601270027,0.49644390346956313
Luxembourg,2020-03-16,38,0.1250550160866225,5.87596166495325
Malaysia,2020-04-04,19,0.10431997694381404,0.1715817922610227
Malta,2020-03-19,35,0.10899875559754027,1.0059676818689653
Mauritius,2020-03-31,23,0.10679348392883216,0.2736583025676324
Moldova,2020-04-02,21,0.1046184727533183,0.6465075361162507
Montenegro,2020-03-27,27,0.10669010664233494,0.4984179608813558
Netherlands,2020-03-19,35,0.11996165438292859,1.9964754318414846
New Zealand,2020-03-30,24,0.11540721918151611,0.23269607780620913
North Macedonia,2020-03-28,26,0.1051136595440563,0.5908443602681887
Norway,2020-03-13,41,0.11545203748677461,1.3322533021420722
Oman,2020-04-12,11,0.10974905256014791,0.3031164308804085
Panama,2020-03-25,29,0.10432270427056646,1.135304192524607
Peru,2020-04-09,14,0.13355704394521972,0.5486543051245703
Poland,2020-04-06,17,0.10826713254789778,0.26013672803317417
Portugal,2020-03-22,32,0.1251688434799794,2.090613050592562
Puerto Rico,2020-04-03,20,0.10772453064831078,0.4268073176319148
Qatar,2020-03-14,40,0.11299167710368434,2.3067957078699055
Romania,2020-03-31,23,0.10080271911203546,0.47726369366466787
Russia,2020-04-13,10,0.10810828894015323,0.36170688962265723
Saudi Arabia,2020-04-11,12,0.10654090540451577,0.33940763373320265
Serbia,2020-04-01,22,0.10259643067017699,0.7854326747972438
Singapore,2020-03-27,27,0.10233726952794092,1.5721003105091933
Slovakia,2020-04-08,15,0.10646850209079584,0.2197172702355666
Slovenia,2020-03-16,38,0.10535663944071501,0.6446479308244663
Spain,2020-03-15,39,0.12309364257389085,4.368679602546825
Sweden,2020-03-16,38,0.10282592955088683,1.5266462137390389
Switzerland,2020-03-14,40,0.1304798480800199,3.2568747806664016
Turkey,2020-03-30,24,0.11047635782569534,1.1457682023343867
United Arab Emirates,2020-04-03,20,0.10480497013007177,0.7937134212487369
United Kingdom,2020-03-25,29,0.11960579635425778,1.910908800883848
United States,2020-03-23,31,0.10698800808352353,2.5072286876452403
Uruguay,2020-04-03,20,0.10659397862458525,0.17707888589937876
