"Meðalmannfjöldi eftir kyni og aldri 1841-2018"

"Kyn";"Aldur";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Karlar";" Á 1. ári";2287.0;2272.0;2237.0;2162.0;2006.0;1935.0;2091.0;2314.0;2362.0;2354.0;2377.0;2373.0;2365.0;2316.0;2266.0;2231.0;2225.0;2070.0;2141.0;2192.0;2157.0;2083.0;2073.0;2180.0;2131.0;2280.0;2325.0;2469.0;2493.0;2542.0;2422.0;2319.5;2227.5;2180.0;2168.0;2082.0;2087.0;2180.5
"Karlar";" 1 árs";2289.0;2282.0;2261.0;2216.0;2133.0;1991.0;1947.0;2116.0;2311.0;2334.0;2348.0;2393.0;2377.0;2357.0;2306.0;2264.0;2222.0;2228.0;2081.0;2140.0;2194.0;2162.0;2093.0;2075.0;2188.0;2152.0;2285.0;2372.0;2464.0;2458.0;2500.0;2407.0;2324.0;2239.0;2187.0;2177.5;2108.5;2111.5
"Karlar";" 2 ára";2170.0;2294.0;2291.0;2263.0;2207.0;2130.0;1997.0;1950.0;2106.0;2294.0;2326.0;2359.0;2402.0;2374.0;2343.0;2288.0;2231.0;2211.0;2242.0;2098.0;2139.0;2201.0;2161.0;2091.0;2083.0;2204.0;2172.0;2302.0;2370.0;2464.0;2463.5;2492.5;2412.0;2331.0;2241.5;2193.0;2200.0;2137.0
"Karlar";" 3 ára";2013.0;2168.0;2289.0;2281.0;2252.0;2203.0;2129.0;1996.0;1939.0;2084.0;2287.0;2328.0;2361.0;2408.0;2359.0;2323.0;2252.0;2231.0;2219.0;2246.0;2110.0;2144.0;2185.0;2155.0;2084.0;2088.0;2221.0;2200.0;2295.0;2346.0;2397.5;2454.0;2494.5;2411.5;2321.5;2237.5;2206.0;2218.0
"Karlar";" 4 ára";2058.0;2022.0;2168.0;2287.0;2275.0;2241.0;2201.0;2138.0;1995.0;1925.0;2087.0;2302.0;2339.0;2356.0;2388.0;2347.0;2345.0;2241.0;2233.0;2239.0;2254.0;2094.0;2149.0;2178.0;2149.0;2090.0;2079.0;2218.0;2217.0;2267.0;2318.5;2392.0;2461.0;2501.0;2399.0;2306.0;2253.0;2239.5
"Karlar";" 5 ára";2109.0;2059.0;2017.0;2163.0;2281.0;2265.0;2244.0;2211.0;2128.0;1978.0;1928.0;2102.0;2311.0;2335.0;2338.0;2369.0;2288.0;2350.0;2261.0;2238.0;2253.0;2249.0;2085.0;2148.0;2184.0;2156.0;2097.0;2114.0;2222.0;2186.0;2250.0;2310.0;2393.0;2474.5;2499.0;2407.5;2337.5;2271.5
"Karlar";" 6 ára";2076.0;2116.0;2065.0;2019.0;2160.0;2277.0;2267.0;2252.0;2204.0;2112.0;1980.0;1939.0;2108.0;2315.0;2334.0;2331.0;2403.0;2287.0;2345.0;2278.0;2232.0;2248.0;2246.0;2075.0;2150.0;2179.0;2167.0;2115.0;2120.0;2201.0;2224.5;2254.5;2314.5;2397.0;2475.0;2499.5;2427.0;2359.0
"Karlar";" 7 ára";2178.0;2086.0;2125.0;2060.0;2012.0;2160.0;2284.0;2280.0;2256.0;2203.0;2113.0;1988.0;1941.0;2095.0;2298.0;2319.0;2329.0;2397.0;2298.0;2352.0;2280.0;2247.0;2247.0;2259.0;2103.0;2144.0;2182.0;2201.0;2117.0;2103.0;2170.5;2227.0;2266.0;2313.5;2389.5;2485.5;2521.5;2452.5
"Karlar";" 8 ára";2284.0;2189.0;2098.0;2127.0;2056.0;2010.0;2167.0;2297.0;2279.0;2249.0;2204.0;2120.0;2000.0;1943.0;2083.0;2286.0;2281.0;2317.0;2399.0;2314.0;2356.0;2279.0;2247.0;2252.0;2269.0;2114.0;2155.0;2206.0;2201.0;2096.0;2086.5;2151.5;2230.0;2282.0;2315.5;2392.0;2505.5;2544.0
"Karlar";" 9 ára";2198.0;2291.0;2199.0;2106.0;2128.0;2056.0;2016.0;2174.0;2293.0;2272.0;2251.0;2205.0;2125.0;2005.0;1936.0;2074.0;2311.0;2287.0;2326.0;2397.0;2332.0;2368.0;2288.0;2259.0;2259.0;2285.0;2129.0;2168.0;2220.0;2187.0;2101.0;2087.0;2167.5;2237.5;2279.0;2320.5;2406.5;2523.5
"Karlar";" 10 ára";2051.0;2199.0;2292.0;2194.0;2095.0;2125.0;2061.0;2022.0;2170.0;2287.0;2274.0;2257.0;2208.0;2125.0;1998.0;1927.0;2064.0;2310.0;2303.0;2331.0;2408.0;2326.0;2377.0;2292.0;2269.0;2273.0;2276.0;2146.0;2190.0;2214.0;2193.0;2092.0;2083.0;2177.0;2238.5;2282.5;2339.0;2424.0
"Karlar";" 11 ára";2015.0;2061.0;2207.0;2293.0;2198.0;2101.0;2129.0;2068.0;2021.0;2165.0;2290.0;2283.0;2265.0;2208.0;2115.0;1984.0;1922.0;2064.0;2316.0;2301.0;2354.0;2415.0;2315.0;2383.0;2300.0;2278.0;2284.0;2292.0;2162.0;2164.0;2156.5;2190.0;2100.0;2092.5;2178.5;2238.0;2296.5;2363.5
"Karlar";" 12 ára";2069.0;2019.0;2060.0;2205.0;2293.0;2195.0;2105.0;2141.0;2070.0;2022.0;2169.0;2296.0;2288.0;2260.0;2203.0;2109.0;1986.0;1919.0;2059.0;2317.0;2303.0;2356.0;2421.0;2324.0;2392.0;2313.0;2283.0;2297.0;2295.0;2153.0;2139.5;2145.0;2185.5;2107.5;2097.0;2191.0;2259.5;2313.0
