continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Southern Europe,Albania,2880917,2020-04-04,27,1,304,17,0.10552195707130752,0.05592105263157895,0,1
Europe,Southern Europe,Albania,2880917,2020-04-05,29,2,333,19,0.11558819639718881,0.057057057057057055,1,1
Europe,Southern Europe,Albania,2880917,2020-04-06,28,2,361,21,0.12530732402217767,0.05817174515235457,2,1
Europe,Southern Europe,Albania,2880917,2020-04-07,16,1,377,22,0.130861111236457,0.058355437665782495,3,1
Europe,Southern Europe,Albania,2880917,2020-04-08,6,0,383,22,0.13294378144181176,0.057441253263707574,4,1
Europe,Southern Europe,Albania,2880917,2020-04-09,17,0,400,22,0.13884468035698355,0.055,5,1
Europe,Southern Europe,Albania,2880917,2020-04-10,9,1,409,23,0.1419686856650157,0.05623471882640587,6,1
Europe,Southern Europe,Albania,2880917,2020-04-11,7,0,416,23,0.1443984675712629,0.055288461538461536,7,1
Europe,Southern Europe,Albania,2880917,2020-04-12,17,0,433,23,0.15029936648643472,0.053117782909930716,8,1
Europe,Southern Europe,Albania,2880917,2020-04-13,13,0,446,23,0.15481181859803667,0.0515695067264574,9,1
Europe,Southern Europe,Albania,2880917,2020-04-14,21,0,467,23,0.16210116431677832,0.04925053533190578,10,1
Europe,Southern Europe,Albania,2880917,2020-04-15,8,1,475,24,0.16487805792391796,0.05052631578947368,11,1
Europe,Southern Europe,Albania,2880917,2020-04-16,19,1,494,25,0.17147318024087468,0.05060728744939271,12,1
Europe,Southern Europe,Albania,2880917,2020-04-17,24,1,518,26,0.1798038610622937,0.05019305019305019,13,1
Europe,Southern Europe,Albania,2880917,2020-04-18,21,0,539,26,0.18709320678103536,0.04823747680890538,14,1
Europe,Southern Europe,Albania,2880917,2020-04-19,9,0,548,26,0.19021721208906747,0.04744525547445255,15,1
Europe,Southern Europe,Albania,2880917,2020-04-20,14,0,562,26,0.1950767759015619,0.046263345195729534,16,1
Europe,Southern Europe,Albania,2880917,2020-04-21,22,0,584,26,0.202713233321196,0.04452054794520548,17,1
Europe,Southern Europe,Albania,2880917,2020-04-22,25,0,609,26,0.21139102584350747,0.042692939244663386,18,1
Europe,Southern Europe,Albania,2880917,2020-04-23,25,1,634,27,0.22006881836581893,0.04258675078864353,19,1
Europe,Southern Europe,Albania,2880917,2020-04-24,29,0,663,27,0.23013505769170026,0.04072398190045249,20,1
Europe,Southern Europe,Albania,2880917,2020-04-25,15,0,678,27,0.23534173320508714,0.03982300884955752,21,1
Europe,Southern Europe,Albania,2880917,2020-04-26,34,0,712,27,0.24714353103543077,0.037921348314606744,22,1
Europe,Southern Europe,Albania,2880917,2020-04-27,14,1,726,28,0.25200309484792516,0.03856749311294766,23,1
Europe,Southern Europe,Albania,2880917,2020-04-28,10,0,736,28,0.25547421185684976,0.03804347826086957,24,1
Europe,Southern Europe,Albania,2880917,2020-04-29,14,2,750,30,0.2603337756693441,0.04,25,1
Europe,Southern Europe,Albania,2880917,2020-04-30,16,1,766,31,0.26588756288362353,0.04046997389033943,26,1
Europe,Southern Europe,Albania,2880917,2020-05-01,7,0,773,31,0.26831734478987074,0.040103492884864166,27,1
Europe,Southern Europe,Albania,2880917,2020-05-02,9,0,782,31,0.2714413500979028,0.03964194373401535,28,1
Europe,Southern Europe,Albania,2880917,2020-05-03,7,0,789,31,0.2738711320041501,0.03929024081115336,29,1
Europe,Southern Europe,Albania,2880917,2020-05-04,6,0,795,31,0.27595380220950483,0.0389937106918239,30,1
Europe,Southern Europe,Albania,2880917,2020-05-05,8,0,803,31,0.27873069581664445,0.038605230386052306,31,1
Europe,Southern Europe,Albania,2880917,2020-05-06,17,0,820,31,0.2846315947318163,0.03780487804878049,32,1
Europe,Southern Europe,Albania,2880917,2020-05-07,12,0,832,31,0.2887969351425258,0.037259615384615384,33,1
Europe,Southern Europe,Albania,2880917,2020-05-08,10,0,842,31,0.2922680521514504,0.03681710213776722,34,1
Europe,Southern Europe,Albania,2880917,2020-05-09,8,0,850,31,0.29504494575859,0.036470588235294116,35,1
Europe,Southern Europe,Albania,2880917,2020-05-10,6,0,856,31,0.2971276159639448,0.036214953271028034,36,1
Europe,Southern Europe,Albania,2880917,2020-05-11,12,0,868,31,0.3012929563746543,0.03571428571428571,37,1
Europe,Southern Europe,Albania,2880917,2020-05-12,4,0,872,31,0.3026814031782242,0.03555045871559633,38,1
Europe,Southern Europe,Albania,2880917,2020-05-13,4,0,876,31,0.304069849981794,0.03538812785388128,39,1
Europe,Southern Europe,Albania,2880917,2020-05-14,4,0,880,31,0.30545829678536385,0.035227272727272725,40,1
Europe,Southern Europe,Albania,2880917,2020-05-15,18,0,898,31,0.3117063074014281,0.034521158129175944,41,1
Africa,Northern Africa,Algeria,43053054,2020-05-04,179,4,4474,463,0.10391829578454527,0.10348681269557443,0,2
Africa,Northern Africa,Algeria,43053054,2020-05-05,174,2,4648,465,0.10795982092234385,0.10004302925989673,1,2
Africa,Northern Africa,Algeria,43053054,2020-05-06,190,5,4838,470,0.11237298055557221,0.09714758164530798,2,2
Africa,Northern Africa,Algeria,43053054,2020-05-07,159,6,4997,476,0.1160660983539054,0.09525715429257554,3,2
Africa,Northern Africa,Algeria,43053054,2020-05-08,185,7,5182,483,0.12036312220731193,0.0932072558857584,4,2
Africa,Northern Africa,Algeria,43053054,2020-05-09,187,5,5369,488,0.12470660037264719,0.09089215868876886,5,2
Africa,Northern Africa,Algeria,43053054,2020-05-10,189,6,5558,494,0.12909653284991118,0.08888089240734078,6,2
Africa,Northern Africa,Algeria,43053054,2020-05-11,165,8,5723,502,0.13292901358403053,0.08771623274506378,7,2
Africa,Northern Africa,Algeria,43053054,2020-05-12,168,5,5891,507,0.13683117578604298,0.08606348667458835,8,2
Africa,Northern Africa,Algeria,43053054,2020-05-13,176,8,6067,515,0.14091915523577025,0.08488544585462338,9,2
Africa,Northern Africa,Algeria,43053054,2020-05-14,186,7,6253,522,0.14523940624514117,0.08347992963377579,10,2
Africa,Northern Africa,Algeria,43053054,2020-05-15,189,7,6442,529,0.14962933872240516,0.08211735485873953,11,2
Americas,South America,Argentina,44780677,2020-05-02,104,7,4519,225,0.10091406166101509,0.049789776499225495,0,3
Americas,South America,Argentina,44780677,2020-05-03,149,12,4668,237,0.10424138965116583,0.05077120822622108,1,3
Americas,South America,Argentina,44780677,2020-05-04,102,9,4770,246,0.10651915780549723,0.05157232704402516,2,3
Americas,South America,Argentina,44780677,2020-05-05,104,14,4874,260,0.10884158808050177,0.053344275748871565,3,3
Americas,South America,Argentina,44780677,2020-05-06,133,4,5007,264,0.1118116191052672,0.052726183343319355,4,3
Americas,South America,Argentina,44780677,2020-05-07,188,9,5195,273,0.11600985844854467,0.05255052935514918,5,3
Americas,South America,Argentina,44780677,2020-05-08,163,9,5358,282,0.11964982128340758,0.05263157894736842,6,3
Americas,South America,Argentina,44780677,2020-05-09,240,11,5598,293,0.12500927576418733,0.05234012147195427,7,3
Americas,South America,Argentina,44780677,2020-05-10,165,7,5763,300,0.12869390071972336,0.052056220718375845,8,3
Americas,South America,Argentina,44780677,2020-05-11,13,0,5776,300,0.12898420450409895,0.05193905817174515,9,3
Americas,South America,Argentina,44780677,2020-05-12,245,5,6021,305,0.13445531428656157,0.0506560372031224,10,3
Americas,South America,Argentina,44780677,2020-05-13,529,14,6550,319,0.1462684452046136,0.04870229007633588,11,3
Americas,South America,Argentina,44780677,2020-05-14,316,10,6866,329,0.15332506027097356,0.04791727352170114,12,3
Americas,South America,Argentina,44780677,2020-05-15,255,24,7121,353,0.15901948065680202,0.04957168936947058,13,3
Asia,Western Asia,Armenia,2957731,2020-03-27,39,1,329,1,0.1112339154574909,0.00303951367781155,0,4
Asia,Western Asia,Armenia,2957731,2020-03-28,43,0,372,1,0.12577208677868273,0.002688172043010753,1,4
Asia,Western Asia,Armenia,2957731,2020-03-29,52,2,424,3,0.14335313116710074,0.007075471698113208,2,4
Asia,Western Asia,Armenia,2957731,2020-03-30,0,0,424,3,0.14335313116710074,0.007075471698113208,3,4
Asia,Western Asia,Armenia,2957731,2020-03-31,58,0,482,3,0.1629627576003362,0.006224066390041493,4,4
Asia,Western Asia,Armenia,2957731,2020-04-01,50,0,532,3,0.17986760797381507,0.005639097744360902,5,4
Asia,Western Asia,Armenia,2957731,2020-04-02,39,0,571,3,0.19305339126512858,0.005253940455341506,6,4
Asia,Western Asia,Armenia,2957731,2020-04-03,92,1,663,4,0.22415831595232966,0.006033182503770739,7,4
Asia,Western Asia,Armenia,2957731,2020-04-04,73,3,736,7,0.24883939749760883,0.009510869565217392,8,4
Asia,Western Asia,Armenia,2957731,2020-04-05,34,0,770,7,0.2603346957515744,0.00909090909090909,9,4
Asia,Western Asia,Armenia,2957731,2020-04-06,52,0,822,7,0.27791574013999243,0.00851581508515815,10,4
Asia,Western Asia,Armenia,2957731,2020-04-07,11,1,833,8,0.2816348072221578,0.009603841536614645,11,4
Asia,Western Asia,Armenia,2957731,2020-04-08,20,0,853,8,0.2883967473715493,0.009378663540445486,12,4
Asia,Western Asia,Armenia,2957731,2020-04-09,28,1,881,9,0.2978634635806975,0.01021566401816118,13,4
Asia,Western Asia,Armenia,2957731,2020-04-10,40,1,921,10,0.3113873438794806,0.010857763300760043,14,4
Asia,Western Asia,Armenia,2957731,2020-04-11,16,1,937,11,0.3167968959989938,0.011739594450373533,15,4
Asia,Western Asia,Armenia,2957731,2020-04-12,30,2,967,13,0.3269398062230811,0.01344364012409514,16,4
Asia,Western Asia,Armenia,2957731,2020-04-13,46,0,1013,13,0.3424922685666817,0.012833168805528134,17,4
Asia,Western Asia,Armenia,2957731,2020-04-14,26,1,1039,14,0.3512827907608907,0.013474494706448507,18,4
Asia,Western Asia,Armenia,2957731,2020-04-15,72,3,1111,17,0.3756257752987003,0.0153015301530153,19,4
Asia,Western Asia,Armenia,2957731,2020-04-16,48,1,1159,18,0.39185443165724,0.015530629853321829,20,4
Asia,Western Asia,Armenia,2957731,2020-04-17,42,1,1201,19,0.4060545059709622,0.01582014987510408,21,4
Asia,Western Asia,Armenia,2957731,2020-04-18,47,1,1248,20,0.4219450653220323,0.016025641025641024,22,4
Asia,Western Asia,Armenia,2957731,2020-04-19,43,0,1291,20,0.43648323664322414,0.015491866769945779,23,4
Asia,Western Asia,Armenia,2957731,2020-04-20,48,2,1339,22,0.45271189300176384,0.016430171769977596,24,4
Asia,Western Asia,Armenia,2957731,2020-04-21,62,2,1401,24,0.47367390746487764,0.017130620985010708,25,4
Asia,Western Asia,Armenia,2957731,2020-04-22,72,0,1473,24,0.49801689200268723,0.016293279022403257,26,4
Asia,Western Asia,Armenia,2957731,2020-04-23,50,0,1523,24,0.5149217423761661,0.015758371634931056,27,4
Asia,Western Asia,Armenia,2957731,2020-04-24,73,3,1596,27,0.5396028239214452,0.016917293233082706,28,4
Asia,Western Asia,Armenia,2957731,2020-04-25,81,1,1677,28,0.5669886815264809,0.016696481812760882,29,4
