continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Western Europe,Austria,8955102,2020-03-20,550,2,2196,6,0.24522333748962324,0.00273224043715847,0,1
Europe,Western Europe,Austria,8955102,2020-03-21,453,0,2649,6,0.29580902596084335,0.0022650056625141564,1,1
Europe,Western Europe,Austria,8955102,2020-03-22,375,2,3024,8,0.33768459588735,0.0026455026455026454,2,1
Europe,Western Europe,Austria,8955102,2020-03-23,607,8,3631,16,0.4054671850750556,0.004406499586890664,3,1
Europe,Western Europe,Austria,8955102,2020-03-24,855,9,4486,25,0.5009434845074908,0.005572893446277307,4,1
Europe,Western Europe,Austria,8955102,2020-03-25,796,5,5282,30,0.5898313609381557,0.005679666792881484,5,1
Europe,Northern Europe,Estonia,1325648,2020-03-20,9,0,267,0,0.2014109326155963,0,0,2
Europe,Northern Europe,Estonia,1325648,2020-03-21,16,0,283,0,0.21348050161128748,0,1,2
Europe,Northern Europe,Estonia,1325648,2020-03-22,23,0,306,0,0.2308305070425935,0,2,2
Europe,Northern Europe,Estonia,1325648,2020-03-23,20,0,326,0,0.24591746828720748,0,3,2
Europe,Northern Europe,Estonia,1325648,2020-03-24,26,0,352,0,0.2655305179052056,0,4,2
Europe,Northern Europe,Estonia,1325648,2020-03-25,17,0,369,0,0.27835443496312745,0,5,2
Europe,Southern Europe,Gibraltar,33701,2020-03-20,10,0,10,0,0.29672710008605085,0,0,3
Europe,Southern Europe,Gibraltar,33701,2020-03-21,0,0,10,0,0.29672710008605085,0,1,3
Europe,Southern Europe,Gibraltar,33701,2020-03-22,0,0,10,0,0.29672710008605085,0,2,3
Europe,Southern Europe,Gibraltar,33701,2020-03-23,5,0,15,0,0.44509065012907634,0,3,3
Europe,Southern Europe,Gibraltar,33701,2020-03-24,0,0,15,0,0.44509065012907634,0,4,3
Europe,Southern Europe,Gibraltar,33701,2020-03-25,0,0,15,0,0.44509065012907634,0,5,3
Asia,Southern Asia,Iran,82913906,2020-03-19,1192,147,17361,1135,0.2093858658642858,0.06537641840907782,0,5
Asia,Southern Asia,Iran,82913906,2020-03-20,1046,149,18407,1284,0.22200136126743322,0.06975607105992286,1,5
Asia,Southern Asia,Iran,82913906,2020-03-21,1237,149,19644,1433,0.23692045095547662,0.07294848299735288,2,5
Asia,Southern Asia,Iran,82913906,2020-03-22,966,123,20610,1556,0.24857109011364148,0.0754973313925279,3,5
Asia,Southern Asia,Iran,82913906,2020-03-23,1028,129,21638,1685,0.2609694928616679,0.0778722617617155,4,5
Asia,Southern Asia,Iran,82913906,2020-03-24,1411,127,23049,1812,0.2779871448825484,0.07861512430040349,5,5
Asia,Southern Asia,Iran,82913906,2020-03-25,1762,122,24811,1934,0.29923810367829007,0.0779492966829229,6,5
Europe,Southern Europe,Italy,60550075,2020-03-12,2313,196,12462,827,0.20581312244452216,0.06636173968865351,0,6
Europe,Southern Europe,Italy,60550075,2020-03-13,2651,189,15113,1016,0.24959506656267558,0.06722689075630252,1,6
Europe,Southern Europe,Italy,60550075,2020-03-14,2547,252,17660,1268,0.29165942403869854,0.07180067950169876,2,6
Europe,Southern Europe,Italy,60550075,2020-03-15,90,173,17750,1441,0.2931457970943884,0.08118309859154929,3,6
