continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Asia,Western Asia,Bahrain,1641172,2020-03-14,48,0,210,0,0.1279573378049345,0,0,1
Asia,Western Asia,Bahrain,1641172,2020-03-15,1,0,211,0,0.1285666584611485,0,1,1
Asia,Western Asia,Bahrain,1641172,2020-03-16,3,0,214,0,0.13039462042979041,0,2,1
Asia,Western Asia,Bahrain,1641172,2020-03-17,7,1,221,1,0.13465986502328825,0.004524886877828055,3,1
Asia,Western Asia,Bahrain,1641172,2020-03-18,16,0,237,1,0.14440899552271183,0.004219409282700422,4,1
Asia,Western Asia,Bahrain,1641172,2020-03-19,19,0,256,1,0.15598608799077732,0.00390625,5,1
Asia,Western Asia,Bahrain,1641172,2020-03-20,13,0,269,1,0.163907256521559,0.0037174721189591076,6,1
Europe,Northern Europe,Denmark,5771876,2020-03-13,160,0,676,0,0.11711963320071324,0,0,2
Europe,Northern Europe,Denmark,5771876,2020-03-14,128,0,804,0,0.13929613179493117,0,1,2
Europe,Northern Europe,Denmark,5771876,2020-03-15,23,0,827,0,0.14328097138607968,0,2,2
Europe,Northern Europe,Denmark,5771876,2020-03-16,48,1,875,1,0.15159715835891138,0.001142857142857143,3,2
Europe,Northern Europe,Denmark,5771876,2020-03-17,57,0,932,1,0.16147263038914905,0.001072961373390558,4,2
Europe,Northern Europe,Denmark,5771876,2020-03-18,92,3,1024,4,0.17741198875374314,0.00390625,5,2
Europe,Northern Europe,Denmark,5771876,2020-03-19,91,0,1115,4,0.19317809322306992,0.003587443946188341,6,2
Europe,Northern Europe,Denmark,5771876,2020-03-20,36,2,1151,6,0.1994152334526937,0.005212858384013901,7,2
Asia,Southern Asia,Iran,82913906,2020-03-12,958,63,9000,354,0.10854632756054214,0.03933333333333333,0,4
Asia,Southern Asia,Iran,82913906,2020-03-13,1075,75,10075,429,0.12151158335249578,0.04258064516129032,1,4
Asia,Southern Asia,Iran,82913906,2020-03-14,1289,85,11364,514,0.13705782959977786,0.04523055262231609,2,4
Asia,Southern Asia,Iran,82913906,2020-03-15,1365,97,12729,611,0.15352068927979343,0.048000628486134025,3,4
Asia,Southern Asia,Iran,82913906,2020-03-16,1209,113,13938,724,0.16810207928209292,0.05194432486726933,4,4
Asia,Southern Asia,Iran,82913906,2020-03-17,1053,129,14991,853,0.18080199960667634,0.056900807150957244,5,4
