continent,region,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Europe,Southern Europe,Albania,2880917,2020-04-04,27,1,304,17,0.10552195707130752,0.05592105263157895,0,1
Europe,Southern Europe,Albania,2880917,2020-04-05,29,2,333,19,0.11558819639718881,0.057057057057057055,1,1
Europe,Southern Europe,Albania,2880917,2020-04-06,28,2,361,21,0.12530732402217767,0.05817174515235457,2,1
Europe,Southern Europe,Albania,2880917,2020-04-07,16,1,377,22,0.130861111236457,0.058355437665782495,3,1
Europe,Southern Europe,Albania,2880917,2020-04-08,6,0,383,22,0.13294378144181176,0.057441253263707574,4,1
Europe,Southern Europe,Albania,2880917,2020-04-09,17,0,400,22,0.13884468035698355,0.055,5,1
Europe,Southern Europe,Albania,2880917,2020-04-10,9,1,409,23,0.1419686856650157,0.05623471882640587,6,1
Europe,Southern Europe,Albania,2880917,2020-04-11,7,0,416,23,0.1443984675712629,0.055288461538461536,7,1
Europe,Southern Europe,Albania,2880917,2020-04-12,17,0,433,23,0.15029936648643472,0.053117782909930716,8,1
Europe,Southern Europe,Albania,2880917,2020-04-13,13,0,446,23,0.15481181859803667,0.0515695067264574,9,1
Europe,Southern Europe,Albania,2880917,2020-04-14,21,0,467,23,0.16210116431677832,0.04925053533190578,10,1
Europe,Southern Europe,Albania,2880917,2020-04-15,8,1,475,24,0.16487805792391796,0.05052631578947368,11,1
Europe,Southern Europe,Albania,2880917,2020-04-16,19,1,494,25,0.17147318024087468,0.05060728744939271,12,1
Europe,Southern Europe,Albania,2880917,2020-04-17,24,1,518,26,0.1798038610622937,0.05019305019305019,13,1
Europe,Southern Europe,Albania,2880917,2020-04-18,21,0,539,26,0.18709320678103536,0.04823747680890538,14,1
Europe,Southern Europe,Albania,2880917,2020-04-19,9,0,548,26,0.19021721208906747,0.04744525547445255,15,1
Europe,Southern Europe,Albania,2880917,2020-04-20,14,0,562,26,0.1950767759015619,0.046263345195729534,16,1
Europe,Southern Europe,Albania,2880917,2020-04-21,22,0,584,26,0.202713233321196,0.04452054794520548,17,1
Europe,Southern Europe,Albania,2880917,2020-04-22,25,0,609,26,0.21139102584350747,0.042692939244663386,18,1
Europe,Southern Europe,Albania,2880917,2020-04-23,25,1,634,27,0.22006881836581893,0.04258675078864353,19,1
Europe,Southern Europe,Albania,2880917,2020-04-24,29,0,663,27,0.23013505769170026,0.04072398190045249,20,1
Europe,Southern Europe,Albania,2880917,2020-04-25,15,0,678,27,0.23534173320508714,0.03982300884955752,21,1
Europe,Southern Europe,Albania,2880917,2020-04-26,34,0,712,27,0.24714353103543077,0.037921348314606744,22,1
Europe,Southern Europe,Albania,2880917,2020-04-27,14,1,726,28,0.25200309484792516,0.03856749311294766,23,1
Asia,Western Asia,Armenia,2957731,2020-03-27,39,1,329,1,0.1112339154574909,0.00303951367781155,0,2
Asia,Western Asia,Armenia,2957731,2020-03-28,43,0,372,1,0.12577208677868273,0.002688172043010753,1,2
Asia,Western Asia,Armenia,2957731,2020-03-29,52,2,424,3,0.14335313116710074,0.007075471698113208,2,2
Asia,Western Asia,Armenia,2957731,2020-03-30,0,0,424,3,0.14335313116710074,0.007075471698113208,3,2
Asia,Western Asia,Armenia,2957731,2020-03-31,58,0,482,3,0.1629627576003362,0.006224066390041493,4,2
Asia,Western Asia,Armenia,2957731,2020-04-01,50,0,532,3,0.17986760797381507,0.005639097744360902,5,2
Asia,Western Asia,Armenia,2957731,2020-04-02,39,0,571,3,0.19305339126512858,0.005253940455341506,6,2
Asia,Western Asia,Armenia,2957731,2020-04-03,92,1,663,4,0.22415831595232966,0.006033182503770739,7,2
Asia,Western Asia,Armenia,2957731,2020-04-04,73,3,736,7,0.24883939749760883,0.009510869565217392,8,2
Asia,Western Asia,Armenia,2957731,2020-04-05,34,0,770,7,0.2603346957515744,0.00909090909090909,9,2
Asia,Western Asia,Armenia,2957731,2020-04-06,52,0,822,7,0.27791574013999243,0.00851581508515815,10,2
Asia,Western Asia,Armenia,2957731,2020-04-07,11,1,833,8,0.2816348072221578,0.009603841536614645,11,2
Asia,Western Asia,Armenia,2957731,2020-04-08,20,0,853,8,0.2883967473715493,0.009378663540445486,12,2
Asia,Western Asia,Armenia,2957731,2020-04-09,28,1,881,9,0.2978634635806975,0.01021566401816118,13,2
Asia,Western Asia,Armenia,2957731,2020-04-10,40,1,921,10,0.3113873438794806,0.010857763300760043,14,2
Asia,Western Asia,Armenia,2957731,2020-04-11,16,1,937,11,0.3167968959989938,0.011739594450373533,15,2
Asia,Western Asia,Armenia,2957731,2020-04-12,30,2,967,13,0.3269398062230811,0.01344364012409514,16,2
Asia,Western Asia,Armenia,2957731,2020-04-13,46,0,1013,13,0.3424922685666817,0.012833168805528134,17,2
Asia,Western Asia,Armenia,2957731,2020-04-14,26,1,1039,14,0.3512827907608907,0.013474494706448507,18,2
Asia,Western Asia,Armenia,2957731,2020-04-15,72,3,1111,17,0.3756257752987003,0.0153015301530153,19,2
Asia,Western Asia,Armenia,2957731,2020-04-16,48,1,1159,18,0.39185443165724,0.015530629853321829,20,2
Asia,Western Asia,Armenia,2957731,2020-04-17,42,1,1201,19,0.4060545059709622,0.01582014987510408,21,2
Asia,Western Asia,Armenia,2957731,2020-04-18,47,1,1248,20,0.4219450653220323,0.016025641025641024,22,2
Asia,Western Asia,Armenia,2957731,2020-04-19,43,0,1291,20,0.43648323664322414,0.015491866769945779,23,2
Asia,Western Asia,Armenia,2957731,2020-04-20,48,2,1339,22,0.45271189300176384,0.016430171769977596,24,2
Asia,Western Asia,Armenia,2957731,2020-04-21,62,2,1401,24,0.47367390746487764,0.017130620985010708,25,2
Asia,Western Asia,Armenia,2957731,2020-04-22,72,0,1473,24,0.49801689200268723,0.016293279022403257,26,2
Asia,Western Asia,Armenia,2957731,2020-04-23,50,0,1523,24,0.5149217423761661,0.015758371634931056,27,2
Asia,Western Asia,Armenia,2957731,2020-04-24,73,3,1596,27,0.5396028239214452,0.016917293233082706,28,2
Asia,Western Asia,Armenia,2957731,2020-04-25,81,1,1677,28,0.5669886815264809,0.016696481812760882,29,2
Asia,Western Asia,Armenia,2957731,2020-04-26,69,0,1746,28,0.5903173750418818,0.016036655211912942,30,2
Asia,Western Asia,Armenia,2957731,2020-04-27,62,1,1808,29,0.6112793895049956,0.016039823008849558,31,2
Oceania,Australia and New Zealand,Australia,25203198,2020-03-26,376,3,2799,11,0.11105733486678952,0.003929974991068239,0,3
Oceania,Australia and New Zealand,Australia,25203198,2020-03-27,367,2,3166,13,0.1256189789883014,0.00410612760581175,1,3
Oceania,Australia and New Zealand,Australia,25203198,2020-03-28,212,0,3378,13,0.13403060992497856,0.0038484310242747188,2,3
Oceania,Australia and New Zealand,Australia,25203198,2020-03-29,431,1,3809,14,0.15113161432926092,0.0036755053819900237,3,3
Oceania,Australia and New Zealand,Australia,25203198,2020-03-30,284,2,4093,16,0.16240002558405486,0.003909113119960909,4,3
Oceania,Australia and New Zealand,Australia,25203198,2020-03-31,464,3,4557,19,0.1808103876341407,0.004169409699363616,5,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-01,150,1,4707,20,0.18676201329688397,0.004248990864669641,6,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-02,269,1,4976,21,0.1974352619854036,0.0042202572347266884,7,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-03,248,2,5224,23,0.20727528308113916,0.004402756508422665,8,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-04,324,7,5548,30,0.22013079451266462,0.005407354001441961,9,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-05,139,4,5687,34,0.22564596762680675,0.005978547564621066,10,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-06,57,2,5744,36,0.22790758537864916,0.006267409470752089,11,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-07,100,6,5844,42,0.231875335820478,0.007186858316221766,12,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-08,112,3,5956,45,0.23631921631532632,0.00755540631296172,13,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-09,96,5,6052,50,0.24012825673948204,0.008261731658955718,14,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-10,100,2,6152,52,0.2440960071813109,0.008452535760728219,15,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-11,86,2,6238,54,0.24750827256128366,0.008656620711766592,16,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-12,51,3,6289,57,0.24953182528661638,0.00906344410876133,17,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-13,33,4,6322,61,0.2508411829324199,0.009648845302119582,18,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-14,44,0,6366,61,0.2525869931268246,0.00958215519949733,19,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-15,50,0,6416,61,0.25457086834773907,0.009507481296758104,20,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-16,42,2,6458,63,0.2562373235333072,0.009755342211210901,21,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-17,39,0,6497,63,0.2577847462056204,0.009696783130675696,22,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-18,36,4,6533,67,0.25921313636467885,0.010255625287004438,23,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-19,53,2,6586,69,0.2613160440988481,0.010476768903735195,24,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-20,26,1,6612,70,0.2623476592137236,0.01058681185722928,25,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-21,13,1,6625,71,0.26286346677116135,0.010716981132075473,26,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-22,22,3,6647,74,0.2637363718683637,0.011132841883556491,27,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-23,7,0,6654,74,0.26401411439929173,0.011121130147279832,28,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-24,13,1,6667,75,0.2645299219567294,0.011249437528123594,29,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-25,20,4,6687,79,0.2653234720450952,0.011813967399431732,30,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-26,16,2,6703,81,0.26595831211578785,0.012084141429210802,31,3
Oceania,Australia and New Zealand,Australia,25203198,2020-04-27,10,2,6713,83,0.26635508715997075,0.012364069715477433,32,3
Europe,Western Europe,Austria,8955102,2020-03-17,156,2,1016,3,0.1134548774542155,0.002952755905511811,0,4
Europe,Western Europe,Austria,8955102,2020-03-18,316,0,1332,3,0.1487420243789518,0.0022522522522522522,1,4
Europe,Western Europe,Austria,8955102,2020-03-19,314,1,1646,4,0.18380583493074673,0.002430133657351154,2,4
Europe,Western Europe,Austria,8955102,2020-03-20,550,2,2196,6,0.24522333748962324,0.00273224043715847,3,4
Europe,Western Europe,Austria,8955102,2020-03-21,453,0,2649,6,0.29580902596084335,0.0022650056625141564,4,4
Europe,Western Europe,Austria,8955102,2020-03-22,375,2,3024,8,0.33768459588735,0.0026455026455026454,5,4
