country,continent,region,pop,date,days,cases,cum_cases,case_rate,deaths,cum_deaths,death_rate
Afghanistan,Asia,Southern Asia,38041754,2020-03-08,0,3,4,1.0514762279362829e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-11,3,3,7,1.840083398888495e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-15,7,3,10,2.6286905698407067e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-16,8,6,16,4.2059049117451315e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-17,9,5,21,5.520250196665485e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-18,10,1,22,5.783119253649555e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-19,11,0,22,5.783119253649555e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-20,12,0,22,5.783119253649555e-4,0,0,0
Afghanistan,Asia,Southern Asia,38041754,2020-03-21,13,2,24,6.308857367617697e-4,0,0,0
Albania,Europe,Southern Europe,2880917,2020-03-09,0,2,2,6.942234017849178e-4,0,0,0
Albania,Europe,Southern Europe,2880917,2020-03-10,1,4,6,0.002082670205354753,0,0,0
Albania,Europe,Southern Europe,2880917,2020-03-11,2,4,10,0.003471117008924589,0,0,0
Albania,Europe,Southern Europe,2880917,2020-03-12,3,1,11,0.003818228709817048,1,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-13,4,12,23,0.007983569120526555,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-14,5,10,33,0.011454686129451143,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-15,6,5,38,0.01319024463391344,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-16,7,4,42,0.014578691437483273,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-17,8,9,51,0.017702696745515403,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-18,9,4,55,0.01909114354908524,0,1,3.471117008924589e-4
Albania,Europe,Southern Europe,2880917,2020-03-19,10,4,59,0.020479590352655074,1,2,6.942234017849178e-4
