country,date,cum_cases,pop,cases,case_rate,continent,region,days,cum_recovered,recovered,cum_deaths,deaths
Hubei,2020-01-22,444,58500000,444,0.00758974358974359,Asia,Eastern Asia,0,28,28,17,17
Hubei,2020-01-23,444,58500000,0,0.00758974358974359,Asia,Eastern Asia,1,28,0,17,0
Hubei,2020-01-24,549,58500000,105,0.009384615384615385,Asia,Eastern Asia,2,31,3,24,7
Hubei,2020-01-25,761,58500000,212,0.013008547008547009,Asia,Eastern Asia,3,32,1,40,16
Hubei,2020-01-26,1058,58500000,297,0.018085470085470085,Asia,Eastern Asia,4,42,10,52,12
Hubei,2020-01-27,1423,58500000,365,0.024324786324786324,Asia,Eastern Asia,5,45,3,76,24
Hubei,2020-01-28,3554,58500000,2131,0.060752136752136754,Asia,Eastern Asia,6,80,35,125,49
Hubei,2020-01-29,3554,58500000,0,0.060752136752136754,Asia,Eastern Asia,7,88,8,125,0
Hubei,2020-01-30,4903,58500000,1349,0.08381196581196582,Asia,Eastern Asia,8,90,2,162,37
Hubei,2020-01-31,5806,58500000,903,0.09924786324786325,Asia,Eastern Asia,9,141,51,204,42
Hubei,2020-02-01,7153,58500000,1347,0.12227350427350428,Asia,Eastern Asia,10,168,27,249,45
Hubei,2020-02-02,11177,58500000,4024,0.19105982905982904,Asia,Eastern Asia,11,295,127,350,101
Hubei,2020-02-03,13522,58500000,2345,0.23114529914529913,Asia,Eastern Asia,12,386,91,414,64
Hubei,2020-02-04,16678,58500000,3156,0.28509401709401705,Asia,Eastern Asia,13,522,136,479,65
Hubei,2020-02-05,19665,58500000,2987,0.33615384615384614,Asia,Eastern Asia,14,633,111,549,70
Hubei,2020-02-06,22112,58500000,2447,0.377982905982906,Asia,Eastern Asia,15,817,184,618,69
Hubei,2020-02-07,24953,58500000,2841,0.4265470085470085,Asia,Eastern Asia,16,1115,298,699,81
Hubei,2020-02-08,27100,58500000,2147,0.4632478632478632,Asia,Eastern Asia,17,1439,324,780,81
Hubei,2020-02-09,29631,58500000,2531,0.5065128205128205,Asia,Eastern Asia,18,1795,356,871,91
Hubei,2020-02-10,31728,58500000,2097,0.5423589743589743,Asia,Eastern Asia,19,2222,427,974,103
Hubei,2020-02-11,33366,58500000,1638,0.5703589743589743,Asia,Eastern Asia,20,2639,417,1068,94
